agency,request_count,avg_response_hours,median_response_hours
EDC,15876,6208.580061576355,6216.779166666666
TLC,31859,1484.9425642428664,620.1148611111112
DOE,1705,1476.2305707248645,114.36305555555556
OOS,2170,968.9508113894241,999.6516666666666
DOB,93587,713.8370127676802,124.36333333333333
DPR,96229,662.7607852124194,144.62416666666667
DOHMH,69462,449.86575897132866,22.982916666666668
OTI,168,384.6737055192447,302.49583333333334
DCWP,16367,377.6422820761843,115.14611111111111
HPD,759214,240.44108414255408,76.105
DOT,215288,151.7228842462458,42.44111111111111
DSNY,319317,76.297177405263,37.26291666666667
DEP,181279,74.44854204490525,20.25
DHS,44481,68.9966653477318,8.453055555555556
NYPD,1452998,2.430811288492016,1.1836111111111112
