problem,request_count,delay_rate
Illegal Parking,501365,0.0
Noise - Residential,369414,0.0
HEAT/HOT WATER,329068,0.0
Blocked Driveway,161274,0.0
Noise - Street/Sidewalk,144663,0.0
UNSANITARY CONDITION,108095,0.0
Street Condition,82148,0.0
Water System,75661,0.0
PLUMBING,67233,0.0
Snow or Ice,63938,0.0
Dirty Condition,57463,0.0
Abandoned Vehicle,56794,0.0
PAINT/PLASTER,54777,0.0
Noise - Commercial,50305,0.0
Traffic Signal Condition,49133,0.0
Noise,47604,0.0
DOOR/WINDOW,42499,0.0
Encampment,40773,0.0
Noise - Vehicle,37543,0.0
WATER LEAK,37491,0.0
Derelict Vehicles,33691,0.0
Homeless Person Assistance,32280,0.0
Missed Collection,32210,0.0
Illegal Dumping,31901,0.0
GENERAL,31472,0.0
General Construction/Plumbing,30428,0.0
Street Light Condition,30363,0.0
ELECTRIC,28844,0.0
Damaged Tree,28219,0.0
FLOORING/STAIRS,24724,0.0
Sewer,23816,0.0
Rodent,23239,0.0
Vendor Enforcement,22789,0.0
Sidewalk Condition,22235,0.0
Drug Activity,22045,0.0
Maintenance or Facility,21847,0.0
Non-Emergency Police Matter,21484,0.0
APPLIANCE,20970,0.0
Elevator,20617,0.0
Building/Use,19285,0.0
Obstruction,17745,0.0
Consumer Complaint,16367,0.0
Lead,15901,0.0
Noise - Helicopter,15876,0.0
Overgrown Tree/Branches,15782,0.0
For Hire Vehicle Complaint,15609,0.0
Graffiti,14941,0.18660062914128908
Residential Disposal Complaint,11659,0.0
SAFETY,11588,0.0
Food Establishment,11146,0.0
Traffic,10589,0.0
Illegal Fireworks,10395,0.0
Panhandling,10353,0.0
Animal-Abuse,9482,0.0
Taxi Complaint,8955,0.0
Dead Animal,8730,0.0
Root/Sewer/Sidewalk Condition,8612,0.0
Dead/Dying Tree,8181,0.0
Air Quality,7981,0.0
Indoor Air Quality,7971,0.0
Noise - Park,7961,0.0
Curb Condition,6854,0.0
Street Sweeping Complaint,6723,0.0
Smoking or Vaping,6136,0.0
Lost Property,5613,0.0
Water Conservation,5361,0.0
Highway Condition,5235,0.0
Real Time Enforcement,4753,0.0
Street Sign - Damaged,4618,0.0
Illegal Posting,4493,0.0
Illegal Tree Damage,4408,0.0
Animal in a Park,4262,0.0
Drinking,3830,0.0
Boilers,3746,0.0
Mobile Food Vendor,3651,0.0
Special Projects Inspection Team (SPIT),3486,0.0
Street Sign - Dangling,3235,0.0
Litter Basket Request,3188,0.0
Violation of Park Rules,3153,0.0
Noise - House of Worship,3062,0.0
Plumbing,2909,0.0
Street Sign - Missing,2875,0.0
Emergency Response Team (ERT),2807,0.0
Sanitation Worker or Vehicle Complaint,2797,0.0
Outdoor Dining,2716,0.0
