problem,repeat_candidate_rows
Illegal Parking,496381
Noise - Residential,361755
HEAT/HOT WATER,321417
Blocked Driveway,152378
Noise - Street/Sidewalk,134640
UNSANITARY CONDITION,99102
Street Condition,68159
Water System,63572
Snow or Ice,62085
PLUMBING,58628
PAINT/PLASTER,47520
Abandoned Vehicle,44629
Dirty Condition,44127
Noise - Commercial,40671
Traffic Signal Condition,35430
Noise,34850
DOOR/WINDOW,34351
Encampment,33816
WATER LEAK,28228
Noise - Vehicle,27317
Missed Collection,23631
GENERAL,22798
ELECTRIC,20413
Derelict Vehicles,20029
Homeless Person Assistance,19792
Damaged Tree,19401
Illegal Dumping,19378
Drug Activity,18873
General Construction/Plumbing,18449
Vendor Enforcement,17956
FLOORING/STAIRS,17834
Street Light Condition,17302
Noise - Helicopter,14909
APPLIANCE,13977
Sewer,13659
Rodent,13626
Elevator,13546
Maintenance or Facility,12802
Non-Emergency Police Matter,12717
Sidewalk Condition,11669
Building/Use,10664
Graffiti,10397
For Hire Vehicle Complaint,9994
Obstruction,8906
Illegal Fireworks,8795
Overgrown Tree/Branches,8770
Lead,8277
SAFETY,7059
Traffic,6848
Consumer Complaint,6684
Taxi Complaint,6082
Noise - Park,5296
Residential Disposal Complaint,4769
Food Establishment,4076
Dead Animal,3968
Animal-Abuse,3643
Air Quality,3567
Panhandling,3415
Street Sweeping Complaint,3281
Dead/Dying Tree,3122
Illegal Posting,3069
Root/Sewer/Sidewalk Condition,3053
Lost Property,2811
Curb Condition,2643
Noise - House of Worship,2490
Indoor Air Quality,2330
Construction Safety Enforcement,2090
Water Conservation,2062
Smoking or Vaping,2007
Mobile Food Vendor,1892
Animal in a Park,1618
Drinking,1498
Real Time Enforcement,1474
Street Sign - Damaged,1344
Outdoor Dining,1236
Violation of Park Rules,1214
Illegal Tree Damage,1184
Litter Basket Request,969
Boilers,850
Special Projects Inspection Team (SPIT),732
Street Sign - Dangling,685
School Maintenance,656
Cannabis Retailer,614
Bus Stop Shelter Complaint,613
Emergency Response Team (ERT),599
Hazardous Materials,580
Street Sign - Missing,574
Broken Parking Meter,564
Plumbing,558
Unsanitary Animal Pvt Property,472
Non-Residential Heat,449
ELEVATOR,444
Sanitation Worker or Vehicle Complaint,429
Food Poisoning,362
Asbestos,319
Abandoned Bike,306
Urinating in Public,292
Day Care,290
Electrical,289
Dumpster Complaint,277
Lot Condition,269
Bike/Roller/Skate Chronic,237
OUTSIDE BUILDING,229
Wood Pile Remaining,217
Unleashed Dog,211
Litter Basket Complaint,206
Unsanitary Pigeon Condition,205
Commercial Disposal Complaint,199
Standing Water,187
Construction Lead Dust,178
Taxi Report,176
Water Quality,148
Special Operations,125
New Tree Request,114
Illegal Animal Kept as Pet,110
Industrial Waste,102
Bike Rack,76
E-Scooter,74
Pet Sale,71
Investigations and Discipline (IAD),66
Plant,65
Green Taxi Complaint,64
Bike/Roller/Skate,61
BEST/Site Safety,61
Mosquitoes,52
Indoor Sewage,49
Mold,43
Harboring Bees/Wasps,43
Bus Stop Shelter Placement,37
Drinking Water,34
Tattooing,29
Beach/Pool/Sauna Complaint,26
For Hire Vehicle Report,24
Bench,24
SNW,23
Disorderly Youth,18
LinkNYC,16
Recycling Basket Complaint,16
Animal Facility - No Permit,14
Uprooted Stump,14
Posting Advertisement,12
Tobacco or Non-Tobacco Sale,12
Lifeguard,9
Poison Ivy,8
Scaffold Safety,8
Illegal Animal Sold,8
Unsanitary Animal Facility,7
Green Taxi Report,7
AHV Inspection Unit,6
X-Ray Machine/Equipment,6
Incorrect Data,6
Cooling Tower,6
Dept of Investigations,6
Special Natural Area District (SNAD),5
Building Drinking Water Tank,4
Taxi Compliment,4
Cranes and Derricks,2
Institution Disposal Complaint,2
Public Toilet,2
Tanning,2
Wayfinding,2
