complaint_type,sample_count
Illegal Parking,38735
Noise - Residential,34891
HEAT/HOT WATER,24062
Noise - Street/Sidewalk,15329
Blocked Driveway,14610
Request Large Bulky Item Collection,9417
UNSANITARY CONDITION,9295
Street Condition,6715
Water System,5647
Noise - Vehicle,5582
Noise - Commercial,5423
Abandoned Vehicle,5402
PLUMBING,5192
PAINT/PLASTER,4939
Noise,4591
Derelict Vehicles,3705
DOOR/WINDOW,3702
Dirty Condition,3587
Street Light Condition,3432
Missed Collection,3345
WATER LEAK,3319
General Construction/Plumbing,3266
Traffic Signal Condition,3252
Rodent,3221
Damaged Tree,3089
