descriptor,sample_count
Loud Music/Party,40180
ENTIRE BUILDING,15839
Blocked Hydrant,11320
No Access,10893
Banging/Pounding,9973
Request Large Bulky Item Collection,9417
Posted Parking Sign Violation,8926
APARTMENT ONLY,8223
UNKNOWN,7323
Loud Talking,5637
With License Plate,5402
Blocked Sidewalk,5053
PESTS,4812
Trash,4653
Pothole,4085
Partial Access,3717
Derelict Vehicles,3705
Car/Truck Music,3625
Commercial Overnight Parking,3288
Other,2677
MOLD,2629
Street Light Out,2487
WALL,2431
Double Parked Blocking Traffic,2224
CEILING,2210
