location_type,sample_count
Street/Sidewalk,85522
RESIDENTIAL BUILDING,60868
UNKNOWN,39453
Residential Building/House,37290
Street,26530
Sidewalk,22761
Store/Commercial,5770
Park,2614
Above Address,2547
Club/Bar/Restaurant,2376
3+ Family Apt. Building,1617
Park/Playground,1485
Business,1427
Restaurant/Bar/Deli/Bakery,1097
1-2 Family Dwelling,843
3+ Family Apartment Building,630
Other (Explain Below),609
Commercial Building,590
Mixed Use,473
Taxi,458
Residential Building,389
Mobile Food Vendor,359
Comercial,349
Other,347
Lot,336
