feature,importance
agency_name_NEW YORK CITY POLICE DEPARTMENT,0.16575675375446114
location_type_STREET,0.12661240210629743
location_type_PUBLIC/UNFENCED AREA,0.06394459439173526
agency_name_DEPARTMENT OF HOUSING PRESERVATION AND DEVELOPMENT,0.054064201203351724
complaint_type_ILLEGAL PARKING,0.04117053695576055
location_type_RESIDENTIAL,0.03665178769912565
complaint_type_NOISE - RESIDENTIAL,0.03448451247502255
descriptor_LOUD TALKING,0.032700092333795165
zip_code_11692,0.020811567694477406
created_hour,0.01640807841975992
is_holiday,0.016307127093304973
location_type_SIDEWALK,0.01578877225302382
complaint_type_BLOCKED DRIVEWAY,0.013723772768711204
season_WINTER,0.013508038619253787
location_type_RESTAURANT/BAR/DELI/BAKERY,0.012387296432228759
complaint_type_UNSANITARY CONDITION,0.011728222199586375
agency_name_DEPARTMENT OF PARKS AND RECREATION,0.010439004895849108
zip_code_11694,0.010145108471788643
agency_name_DEPARTMENT OF SANITATION,0.010134405781961188
"descriptor_NO PARKING, STANDING, STOPPING",0.008893901074204909
time_of_day_afternoon,0.008634030304241343
complaint_type_NOISE - STREET/SIDEWALK,0.008497880412298306
is_weekend,0.008237806033929065
complaint_type_HEAT/HOT WATER,0.008070252348022095
location_type_STREET/SIDEWALK,0.006793655455870878
address_type_BLOCKFACE,0.006519045740490511
descriptor_BOILER - DEFECTIVE/INOPERATIVE/NO PERMIT,0.006511575507607218
precinct_Precinct 90,0.005387623743200358
descriptor_ENTIRE TREE HAS FALLEN DOWN,0.005154525528001794
descriptor_RETAIL STORE,0.004883712170389289
zip_code_infrequent_sklearn,0.004826597509299109
complaint_type_RESIDENTIAL DISPOSAL COMPLAINT,0.00478094103254792
descriptor_BELL/BUZZER/INTERCOM,0.004730625628186855
agency_name_DEPARTMENT OF BUILDINGS,0.0045982902068882
agency_name_DEPARTMENT OF TRANSPORTATION,0.00426735702135408
descriptor_RACCOON,0.0042368715357962135
complaint_type_NOISE - COMMERCIAL,0.004017657920446341
complaint_type_ABANDONED VEHICLE,0.003990622798997726
descriptor_PLUMBING WORK - ILLEGAL/NO PERMIT/STANDPIPE/SPRINKLER,0.0039358234237337085
complaint_type_NOISE - HELICOPTER,0.0038046578575341933
descriptor_UNAUTHORIZED BUS LAYOVER,0.0034700625534001338
complaint_type_REAL TIME ENFORCEMENT,0.0034173722603629995
descriptor_WINDOW PANE,0.0033540327318141968
location_type_3+ FAMILY APARTMENT BUILDING,0.003012046335294609
descriptor_DIRTY WATER (WE),0.0029341039653890564
complaint_type_DOOR/WINDOW,0.0029140252457062693
agency_name_DEPARTMENT OF ENVIRONMENTAL PROTECTION,0.002862333638409761
complaint_type_PANHANDLING,0.002802074542862335
agency_name_ECONOMIC DEVELOPMENT CORPORATION,0.0027676401887961515
descriptor_OTHER STORE (NON-FOOD),0.0026764491200158176
