borough,incident_zip,complaint_type,request_count,avg_response_hours,repeat_proxy_rate,delay_48h_rate
BRONX,10466,NOISE - RESIDENTIAL,9980,30.828429303050548,0.987374749498998,0.08276553106212425
BROOKLYN,11201,ILLEGAL PARKING,1709,1.5572418893439957,0.8554710356933879,0.0
QUEENS,11385,ILLEGAL PARKING,1641,3.463510054844607,0.7586837294332724,0.0006093845216331506
QUEENS,11101,ILLEGAL PARKING,1365,1.9500240130240132,0.8102564102564103,0.0
BROOKLYN,11226,HEAT/HOT WATER,1304,51.11812180470348,0.9079754601226994,0.4348159509202454
BRONX,10457,HEAT/HOT WATER,1275,41.60249368191721,0.923921568627451,0.34509803921568627
BRONX,10458,HEAT/HOT WATER,1235,42.46208479532164,0.9157894736842105,0.35384615384615387
BRONX,10468,HEAT/HOT WATER,1193,41.12563402253888,0.9362950544844929,0.34115674769488685
BRONX,10467,HEAT/HOT WATER,1152,42.3891512345679,0.8967013888888888,0.3576388888888889
BROOKLYN,11214,ILLEGAL PARKING,1150,2.351786231884058,0.7669565217391304,0.0
BRONX,10456,NOISE - RESIDENTIAL,1146,4.167300271475664,0.8726003490401396,0.0008726003490401396
BRONX,10452,HEAT/HOT WATER,1105,40.91501483157366,0.9248868778280543,0.35384615384615387
QUEENS,11378,ILLEGAL PARKING,1038,3.7955839220723613,0.7716763005780347,0.0
BRONX,10468,NOISE - RESIDENTIAL,995,3.146786990508096,0.9045226130653267,0.0010050251256281408
MANHATTAN,10023,NOISE - HELICOPTER,994,8306.597849597585,0.9728370221327968,1.0
BROOKLYN,11209,ILLEGAL PARKING,988,1.8294958951866847,0.7449392712550608,0.0
BROOKLYN,11222,ILLEGAL PARKING,973,1.5227940504739066,0.817060637204522,0.0
BROOKLYN,11205,ILLEGAL PARKING,973,1.009128697042366,0.8787255909558068,0.0
BRONX,10462,HEAT/HOT WATER,961,41.11929298184761,0.9042663891779397,0.3590010405827263
QUEENS,11421,ILLEGAL PARKING,958,3.2004088378566458,0.8361169102296451,0.0010438413361169101
BRONX,10467,NOISE - RESIDENTIAL,944,3.2580570268361586,0.774364406779661,0.00847457627118644
BROOKLYN,11235,ILLEGAL PARKING,939,3.8494959176428827,0.724174653887114,0.004259850905218318
BRONX,10468,ILLEGAL PARKING,934,2.0980600166547703,0.8661670235546038,0.0010706638115631692
BROOKLYN,11226,NOISE - RESIDENTIAL,926,8.560158387329015,0.787257019438445,0.0010799136069114472
BRONX,10453,HEAT/HOT WATER,921,42.9533906381952,0.9001085776330076,0.3702497285559175
BROOKLYN,11204,ILLEGAL PARKING,896,2.583507254464286,0.7410714285714286,0.0
BROOKLYN,11223,ILLEGAL PARKING,896,3.4482276165674604,0.7131696428571429,0.0033482142857142855
MANHATTAN,10031,NOISE - STREET/SIDEWALK,893,0.7233538633818589,0.9126539753639418,0.0
BRONX,10456,HEAT/HOT WATER,884,44.33756315987933,0.9072398190045249,0.3834841628959276
QUEENS,11368,BLOCKED DRIVEWAY,879,3.1255318543799775,0.7258248009101251,0.0
BRONX,10458,NOISE - RESIDENTIAL,874,2.158292651919654,0.8237986270022883,0.0
BRONX,10457,NOISE - RESIDENTIAL,869,2.7334228359544817,0.8469505178365938,0.0
BROOKLYN,11217,ILLEGAL PARKING,868,1.2349663978494623,0.8317972350230415,0.0
BROOKLYN,11230,ILLEGAL PARKING,857,2.494074290159471,0.7479579929988331,0.0
BROOKLYN,11208,ILLEGAL PARKING,838,2.418648899496155,0.7147971360381862,0.0
MANHATTAN,10032,NOISE - STREET/SIDEWALK,835,0.8751726546906188,0.918562874251497,0.0
BROOKLYN,11221,NOISE - RESIDENTIAL,831,1.1847108570664526,0.7436823104693141,0.0
BROOKLYN,11215,ILLEGAL PARKING,828,0.9997799248523886,0.6702898550724637,0.0
MANHATTAN,10031,NOISE - RESIDENTIAL,828,0.9974802066559313,0.8961352657004831,0.0
BRONX,10463,ILLEGAL PARKING,819,3.194072717406051,0.7838827838827839,0.001221001221001221
BRONX,10453,NOISE - STREET/SIDEWALK,796,1.8187032384142936,0.8530150753768844,0.0
BROOKLYN,11231,ILLEGAL PARKING,792,3.3143455387205387,0.8169191919191919,0.0012626262626262627
MANHATTAN,10034,NOISE - STREET/SIDEWALK,782,1.1723334043762432,0.8900255754475703,0.0
BROOKLYN,11220,ILLEGAL PARKING,778,1.8274235932590688,0.6889460154241646,0.0012853470437017994
BROOKLYN,11218,ILLEGAL PARKING,776,2.7369924112256583,0.7074742268041238,0.0
MANHATTAN,10032,HEAT/HOT WATER,772,95.90921740069085,0.9248704663212435,0.45077720207253885
BRONX,10452,NOISE - RESIDENTIAL,770,3.084194805194805,0.8467532467532467,0.0
QUEENS,11377,ILLEGAL PARKING,769,2.2927499638780526,0.6970091027308193,0.0
BROOKLYN,11238,ILLEGAL PARKING,767,1.3879650152107779,0.7483702737940026,0.0
MANHATTAN,10031,HEAT/HOT WATER,764,50.73034794938918,0.9136125654450262,0.42408376963350786
BRONX,10453,NOISE - RESIDENTIAL,760,2.7343673245614037,0.8171052631578948,0.0013157894736842105
BROOKLYN,11234,ILLEGAL PARKING,732,6.303632741347905,0.5409836065573771,0.01366120218579235
BRONX,10452,NOISE - STREET/SIDEWALK,728,3.269379578754579,0.8667582417582418,0.01098901098901099
BRONX,10467,ILLEGAL PARKING,726,2.8504641108050204,0.7134986225895317,0.004132231404958678
BROOKLYN,11207,NOISE - RESIDENTIAL,721,1.8043257820927723,0.6920943134535368,0.0
MANHATTAN,10029,NOISE - RESIDENTIAL,712,1.0848536985018726,0.848314606741573,0.0
BRONX,10457,NOISE - STREET/SIDEWALK,706,2.2421553352219075,0.8640226628895185,0.00141643059490085
BROOKLYN,11207,ILLEGAL PARKING,698,2.3931657911493156,0.6805157593123209,0.0
MANHATTAN,10027,NOISE - RESIDENTIAL,690,1.1304440418679549,0.8594202898550725,0.0
BROOKLYN,11225,HEAT/HOT WATER,672,49.114891699735445,0.8958333333333334,0.41369047619047616
BRONX,10456,NOISE - STREET/SIDEWALK,670,2.265082918739635,0.8298507462686567,0.0014925373134328358
MANHATTAN,10033,HEAT/HOT WATER,663,53.52871459694989,0.9215686274509803,0.5113122171945701
BRONX,10461,ILLEGAL PARKING,659,4.078625021075704,0.6904400606980273,0.0
BROOKLYN,11226,ILLEGAL PARKING,656,2.044844173441734,0.6676829268292683,0.0
BROOKLYN,11208,NOISE - RESIDENTIAL,653,3.2937595712098005,0.7059724349157733,0.0015313935681470138
BROOKLYN,11213,HEAT/HOT WATER,638,50.637154737025426,0.8573667711598746,0.49059561128526646
BROOKLYN,11201,NOISE - RESIDENTIAL,636,1.0032193396226414,0.8647798742138365,0.0015723270440251573
BRONX,10462,NOISE - RESIDENTIAL,636,2.733725104821803,0.7861635220125787,0.0
QUEENS,11379,ILLEGAL PARKING,634,3.902036014721346,0.6861198738170347,0.0
MANHATTAN,10034,HEAT/HOT WATER,629,49.00098392510157,0.9300476947535771,0.43243243243243246
BRONX,10463,HEAT/HOT WATER,615,40.49662195121952,0.8926829268292683,0.33170731707317075
QUEENS,11368,ILLEGAL PARKING,615,3.299477416440831,0.6926829268292682,0.0016260162601626016
QUEENS,11385,BLOCKED DRIVEWAY,613,3.2108473808229108,0.47471451876019577,0.0
BROOKLYN,11206,NOISE - RESIDENTIAL,607,1.2561124839831594,0.7446457990115322,0.0
QUEENS,11385,NOISE - RESIDENTIAL,606,1.609427026035937,0.665016501650165,0.0
BROOKLYN,11212,NOISE - RESIDENTIAL,596,1.1799622483221477,0.7449664429530202,0.0
BROOKLYN,11233,NOISE - RESIDENTIAL,595,1.1573314659197014,0.7210084033613445,0.0
BRONX,10468,NOISE - STREET/SIDEWALK,594,1.311041900486345,0.8215488215488216,0.0
BRONX,10466,ILLEGAL PARKING,585,4.2977882241215575,0.676923076923077,0.010256410256410256
QUEENS,11366,DRUG ACTIVITY,582,0.4538411607483772,0.9982817869415808,0.0
BRONX,10463,NOISE - RESIDENTIAL,579,2.225328151986183,0.7772020725388601,0.0017271157167530224
BRONX,10460,NOISE - RESIDENTIAL,576,2.9019314236111113,0.7986111111111112,0.0
BROOKLYN,11228,ILLEGAL PARKING,568,2.1510436228482,0.7394366197183099,0.0
MANHATTAN,10040,NOISE - STREET/SIDEWALK,566,1.189468983117393,0.9187279151943463,0.0
BROOKLYN,11229,ILLEGAL PARKING,566,6.6777934825284655,0.6113074204946997,0.007067137809187279
BROOKLYN,11239,ABANDONED VEHICLE,565,1.3874385447394297,0.9893805309734514,0.0
QUEENS,11368,NOISE - RESIDENTIAL,562,2.2218085211546064,0.6797153024911032,0.0017793594306049821
BRONX,10451,HEAT/HOT WATER,556,43.23725819344524,0.9010791366906474,0.37949640287769787
BRONX,10460,HEAT/HOT WATER,555,46.19381831831832,0.8486486486486486,0.4144144144144144
QUEENS,11373,ILLEGAL PARKING,555,3.4800105105105104,0.7099099099099099,0.0036036036036036037
MANHATTAN,10040,HEAT/HOT WATER,553,49.820664054651395,0.9294755877034359,0.4629294755877034
QUEENS,11366,NOISE - VEHICLE,552,0.5702601650563607,0.9981884057971014,0.0
BRONX,10452,UNSANITARY CONDITION,546,407.0453729141229,0.8131868131868132,0.9084249084249084
MANHATTAN,10002,NOISE - RESIDENTIAL,545,1.0286921508664628,0.8275229357798165,0.0
BROOKLYN,11226,NOISE - STREET/SIDEWALK,538,0.922213961173069,0.7620817843866171,0.0
MANHATTAN,10027,HEAT/HOT WATER,535,140.745274662513,0.8523364485981308,0.48785046728971965
QUEENS,11103,ILLEGAL PARKING,532,2.3906897451963243,0.7969924812030075,0.0
BRONX,10458,NOISE - STREET/SIDEWALK,532,1.4053493107769424,0.7969924812030075,0.0
MANHATTAN,10033,NOISE - STREET/SIDEWALK,531,1.2545433145009417,0.8625235404896422,0.0
QUEENS,11368,NOISE - STREET/SIDEWALK,528,1.6256649831649832,0.821969696969697,0.0
