complaint_type,borough,request_count,avg_response_hours,median_response_hours,p90_response_hours,same_day_rate,repeat_proxy_rate,avg_repeat_group_count
ABANDONED BIKE,BRONX,11,136.3402525252525,86.505,388.4502777777778,0.09090909090909091,0.6363636363636364,12.090909090909092
ABANDONED BIKE,BROOKLYN,120,168.0630138888889,88.28430555555556,357.59869444444445,0.03333333333333333,0.1,3.0416666666666665
ABANDONED BIKE,MANHATTAN,46,299.22556159420293,158.06861111111112,708.6552777777778,0.0,0.08695652173913043,1.565217391304348
ABANDONED BIKE,QUEENS,35,92.00795238095237,41.01861111111111,280.36583333333346,0.05714285714285714,0.11428571428571428,1.3428571428571427
ABANDONED BIKE,STATEN ISLAND,2,26.73125,26.73125,29.34247222222222,0.0,0.0,1.0
ABANDONED VEHICLE,BRONX,1298,4.441581920903955,2.3329166666666667,10.69061111111111,0.8828967642526965,0.33975346687211094,3.5970724191063175
ABANDONED VEHICLE,BROOKLYN,2873,4.142410372432997,1.0863888888888888,5.912166666666667,0.9129829446571528,0.46675948485903235,45.13122171945702
ABANDONED VEHICLE,MANHATTAN,396,1.8296163019079685,0.8897222222222223,3.9918055555555556,0.9494949494949495,0.29545454545454547,2.8585858585858586
ABANDONED VEHICLE,QUEENS,3702,4.020149993997239,1.7111111111111112,8.175111111111114,0.8816855753646677,0.34305780659103186,3.8876283090221504
ABANDONED VEHICLE,STATEN ISLAND,663,2.0018874643874645,1.128611111111111,4.6426111111111155,0.9381598793363499,0.2850678733031674,2.506787330316742
ADOPT-A-BASKET,BRONX,1,42217.316666666666,42217.316666666666,42217.316666666666,0.0,0.0,1.0
ADOPT-A-BASKET,BROOKLYN,14,21983.952380952378,26467.841666666667,37458.31500000001,0.07142857142857142,0.35714285714285715,3.4285714285714284
ADOPT-A-BASKET,MANHATTAN,3,33292.00555555555,35454.98333333333,42747.943333333336,0.0,0.3333333333333333,3.0
ADOPT-A-BASKET,QUEENS,1,13632.0,13632.0,13632.0,0.0,0.0,1.0
ADOPT-A-BASKET,STATEN ISLAND,1,44064.21666666667,44064.21666666667,44064.21666666667,0.0,0.0,1.0
AHV INSPECTION UNIT,BRONX,2,92.8098611111111,92.8098611111111,96.48375,0.0,0.0,1.5
AHV INSPECTION UNIT,BROOKLYN,5,138.24472222222224,157.2577777777778,188.38555555555556,0.0,0.0,1.0
AHV INSPECTION UNIT,MANHATTAN,7,85.75154761904763,50.52194444444444,176.2495,0.0,0.14285714285714285,1.2857142857142858
AHV INSPECTION UNIT,QUEENS,3,148.85268518518518,159.40222222222224,191.47622222222222,0.0,0.3333333333333333,1.6666666666666667
AIR QUALITY,BRONX,111,64.43423423423424,36.86666666666667,139.01666666666668,0.21621621621621623,0.26126126126126126,2.90990990990991
AIR QUALITY,BROOKLYN,319,97.74561128526645,54.21666666666667,216.16666666666666,0.10344827586206896,0.14106583072100312,1.9247648902821317
AIR QUALITY,MANHATTAN,658,62.88776595744681,36.45,144.5966666666667,0.135258358662614,0.541033434650456,141.77659574468086
AIR QUALITY,QUEENS,331,46.216364551863045,25.25,101.91666666666667,0.1782477341389728,0.5347432024169184,65.90332326283988
AIR QUALITY,STATEN ISLAND,48,57.64652777777778,37.775,142.09333333333333,0.25,0.125,1.9375
ANIMAL FACILITY - NO PERMIT,BROOKLYN,1,0.0,0.0,0.0,1.0,0.0,1.0
ANIMAL FACILITY - NO PERMIT,MANHATTAN,2,0.0,0.0,0.0,1.0,0.0,1.0
ANIMAL IN A PARK,BRONX,48,34.27215277777778,1.4045833333333333,65.7958888888891,0.8125,0.16666666666666666,1.7291666666666667
ANIMAL IN A PARK,BROOKLYN,280,137.0427748015873,1.419722222222222,162.82277777777773,0.8392857142857143,0.6571428571428571,17.303571428571427
ANIMAL IN A PARK,MANHATTAN,212,184.87265985324947,1.4986111111111111,120.44813888888895,0.8301886792452831,0.6886792452830188,14.40566037735849
ANIMAL IN A PARK,QUEENS,121,881.9673783287419,1.3041666666666667,449.5727777777778,0.8264462809917356,0.45454545454545453,4.330578512396694
ANIMAL IN A PARK,STATEN ISLAND,32,3.289939236111111,0.73875,13.98269444444447,0.875,0.25,1.625
ANIMAL-ABUSE,BRONX,228,6.028910818713451,1.9965277777777777,9.021694444444446,0.8421052631578947,0.21052631578947367,2.754385964912281
ANIMAL-ABUSE,BROOKLYN,403,2.6591645988420183,1.0952777777777778,5.349722222222223,0.8933002481389578,0.29528535980148884,3.401985111662531
ANIMAL-ABUSE,MANHATTAN,198,1.4451571268237935,0.7666666666666666,3.0644166666666672,0.9494949494949495,0.2222222222222222,3.6161616161616164
ANIMAL-ABUSE,QUEENS,321,3.3598589477327794,1.5075,7.997777777777777,0.8317757009345794,0.22429906542056074,2.987538940809969
ANIMAL-ABUSE,STATEN ISLAND,70,1.9053571428571427,1.05375,4.5743888888888895,0.9571428571428572,0.21428571428571427,2.7714285714285714
APPLIANCE,BRONX,1063,695.9022514894951,378.5961111111111,1674.2309444444447,0.007525870178739417,0.2756349952963311,2.3047977422389465
APPLIANCE,BROOKLYN,891,735.5976636737747,314.495,2026.2652777777778,0.002244668911335578,0.23007856341189675,2.291806958473625
APPLIANCE,MANHATTAN,500,956.4703588888889,425.31097222222223,2367.0773888888893,0.004,0.32,2.542
APPLIANCE,QUEENS,367,738.0675461701484,347.05611111111114,1955.2676666666673,0.008174386920980926,0.22888283378746593,2.1634877384196187
APPLIANCE,STATEN ISLAND,85,1008.9891699346406,403.3097222222222,2316.272444444446,0.011764705882352941,0.12941176470588237,1.7411764705882353
ASBESTOS,BRONX,34,143.16313725490198,20.59791666666667,533.4379999999999,0.4411764705882353,0.029411764705882353,1.3529411764705883
ASBESTOS,BROOKLYN,66,27.608392255892255,3.6916666666666664,63.56722222222223,0.6060606060606061,0.18181818181818182,2.0606060606060606
ASBESTOS,MANHATTAN,57,63.14531189083821,5.032222222222222,185.77705555555548,0.5087719298245614,0.15789473684210525,2.087719298245614
ASBESTOS,QUEENS,45,104.27808024691359,17.233333333333334,169.2784444444445,0.4666666666666667,0.17777777777777778,1.6444444444444444
ASBESTOS,STATEN ISLAND,7,36.89789682539682,11.033333333333333,88.75077777777781,0.42857142857142855,0.0,1.1428571428571428
BEACH/POOL/SAUNA COMPLAINT,BRONX,3,432.0832407407408,50.268055555555556,973.7056111111112,0.0,0.0,1.3333333333333333
BEACH/POOL/SAUNA COMPLAINT,BROOKLYN,12,303.2091435185185,90.78319444444445,374.4186388888889,0.0,0.08333333333333333,1.4166666666666667
BEACH/POOL/SAUNA COMPLAINT,MANHATTAN,2,71.50805555555556,71.50805555555556,86.66183333333333,0.0,0.0,1.5
BEACH/POOL/SAUNA COMPLAINT,QUEENS,10,215.57272222222224,83.66333333333333,629.5876666666667,0.1,0.1,1.3
BEACH/POOL/SAUNA COMPLAINT,STATEN ISLAND,4,267.1720138888889,236.87319444444444,451.80813888888895,0.0,0.0,1.0
BENCH,BRONX,1,424.6286111111111,424.6286111111111,424.6286111111111,0.0,0.0,1.0
BENCH,BROOKLYN,2,404.0711111111111,404.0711111111111,599.6191111111111,0.0,0.0,1.0
BENCH,QUEENS,2,182.13388888888886,182.13388888888886,249.78388888888887,0.0,0.0,1.5
BEST/SITE SAFETY,BRONX,5,468.1299444444445,8.116111111111111,1168.2032777777779,0.2,0.0,1.2
BEST/SITE SAFETY,BROOKLYN,26,730.1978846153846,9.832361111111112,3143.713888888889,0.2692307692307692,0.0,1.1923076923076923
BEST/SITE SAFETY,MANHATTAN,16,12.542534722222221,8.887083333333333,31.679583333333333,0.3125,0.0,1.0625
BEST/SITE SAFETY,QUEENS,13,14.407606837606837,7.736111111111111,49.53044444444447,0.23076923076923078,0.07692307692307693,1.3076923076923077
BEST/SITE SAFETY,STATEN ISLAND,1,0.15833333333333333,0.15833333333333333,0.15833333333333333,0.0,0.0,1.0
BIKE RACK,BROOKLYN,8,719.9484722222222,648.0684722222222,1510.8868055555556,0.0,0.0,1.375
BIKE RACK,MANHATTAN,8,151.1009375,69.63361111111111,388.2909444444444,0.375,0.125,1.375
BIKE RACK,QUEENS,4,183.75694444444446,168.24666666666667,314.99861111111113,0.0,0.0,1.0
BIKE RACK CONDITION,BRONX,2,4285.016944444445,4285.016944444445,7342.902277777778,0.0,0.0,1.0
BIKE RACK CONDITION,BROOKLYN,9,539.1695061728394,423.51694444444445,914.3095555555558,0.0,0.0,1.0
BIKE RACK CONDITION,MANHATTAN,6,2997.8735185185183,727.9833333333333,8125.402916666667,0.0,0.0,1.1666666666666667
BIKE RACK CONDITION,QUEENS,4,3232.952638888889,2736.322222222222,6803.534722222223,0.0,0.0,1.0
BIKE/ROLLER/SKATE,BROOKLYN,7,1.3621825396825396,0.9658333333333333,2.604222222222223,1.0,0.0,1.1428571428571428
BIKE/ROLLER/SKATE,MANHATTAN,5,0.8211666666666666,0.7344444444444445,1.3989444444444445,1.0,0.2,1.6
BIKE/ROLLER/SKATE,QUEENS,7,4.657738095238095,4.220555555555555,7.383333333333335,0.7142857142857143,0.2857142857142857,2.5714285714285716
BIKE/ROLLER/SKATE,STATEN ISLAND,7,1.5537301587301589,1.0316666666666667,3.2248888888888896,0.8571428571428571,0.14285714285714285,1.7142857142857142
BIKE/ROLLER/SKATE CHRONIC,BRONX,18,4.70608024691358,2.3761111111111113,7.74725,0.7777777777777778,0.05555555555555555,1.1666666666666667
BIKE/ROLLER/SKATE CHRONIC,BROOKLYN,46,1.3202777777777777,0.64625,3.3194444444444446,0.9347826086956522,0.08695652173913043,1.6521739130434783
BIKE/ROLLER/SKATE CHRONIC,MANHATTAN,236,0.603243879472693,0.26541666666666663,1.260138888888889,0.9830508474576272,0.7584745762711864,911.3093220338983
BIKE/ROLLER/SKATE CHRONIC,QUEENS,40,1.7345416666666664,1.218888888888889,3.8625555555555566,0.95,0.05,2.65
BIKE/ROLLER/SKATE CHRONIC,STATEN ISLAND,11,1.2257070707070707,0.9908333333333333,2.2780555555555555,1.0,0.18181818181818182,1.9090909090909092
BLOCKED DRIVEWAY,BRONX,4010,4.465508451094486,1.8931944444444446,9.245416666666666,0.8314214463840399,0.46234413965087284,3.5316708229426435
BLOCKED DRIVEWAY,BROOKLYN,9120,3.38266176291423,1.0794444444444444,4.8821111111111115,0.8960526315789473,0.42916666666666664,5.014254385964913
BLOCKED DRIVEWAY,MANHATTAN,572,1.3700607031857033,0.7023611111111111,3.056944444444444,0.9388111888111889,0.29895104895104896,2.5944055944055946
BLOCKED DRIVEWAY,QUEENS,10013,2.8976101068610807,1.5166666666666666,6.712833333333335,0.8461000699091181,0.4708878458004594,4.349345850394487
BLOCKED DRIVEWAY,STATEN ISLAND,643,1.6873483670295488,1.0038888888888888,3.77566666666668,0.9222395023328149,0.2130637636080871,2.08398133748056
BOILERS,BRONX,123,265.88586269196026,101.86638888888889,772.7755555555552,0.14634146341463414,0.2032520325203252,2.5853658536585367
BOILERS,BROOKLYN,136,219.61907475490193,86.27194444444444,673.9190277777777,0.20588235294117646,0.04411764705882353,1.2720588235294117
BOILERS,MANHATTAN,146,241.70591514459664,86.72291666666666,709.2593055555556,0.23972602739726026,0.14383561643835616,3.0547945205479454
BOILERS,QUEENS,87,200.35757982120052,79.74722222222222,547.4835555555563,0.22988505747126436,0.09195402298850575,1.4942528735632183
BOILERS,STATEN ISLAND,16,343.64996527777777,187.6211111111111,1015.2011111111111,0.125,0.1875,3.125
BOROUGH OFFICE,BROOKLYN,5,1909.31,1451.3544444444444,3872.4989444444445,0.2,0.0,1.0
BOROUGH OFFICE,MANHATTAN,3,4419.293333333334,3969.7119444444443,8224.476833333334,0.3333333333333333,0.0,1.0
BOROUGH OFFICE,QUEENS,2,729.7813888888888,729.7813888888888,1252.171388888889,0.0,0.0,1.0
BOTTLED WATER,BRONX,1,50.50694444444444,50.50694444444444,50.50694444444444,0.0,1.0,3.0
BROKEN PARKING METER,BRONX,69,117.30521336553946,38.76833333333333,272.4811666666668,0.10144927536231885,0.15942028985507245,1.7536231884057971
BROKEN PARKING METER,BROOKLYN,155,128.58181362007167,42.22027777777778,265.2918888888888,0.12258064516129032,0.1032258064516129,1.5225806451612902
BROKEN PARKING METER,MANHATTAN,262,119.73556721798134,47.43736111111111,291.03916666666663,0.09923664122137404,0.08778625954198473,1.4312977099236641
BROKEN PARKING METER,QUEENS,217,181.89538658474146,38.81861111111111,283.59250000000003,0.15668202764976957,0.1336405529953917,1.7511520737327189
BROKEN PARKING METER,STATEN ISLAND,17,53.134950980392155,20.227777777777778,122.4306666666667,0.11764705882352941,0.058823529411764705,1.2941176470588236
BUILDING DRINKING WATER TANK,BRONX,1,45.96611111111111,45.96611111111111,45.96611111111111,0.0,0.0,1.0
BUILDING DRINKING WATER TANK,BROOKLYN,3,7147.8235185185185,5566.228055555555,13772.665833333334,0.0,0.0,1.0
BUILDING DRINKING WATER TANK,MANHATTAN,2,1897.2151388888888,1897.2151388888888,3402.954138888889,0.0,0.0,1.0
BUILDING DRINKING WATER TANK,QUEENS,2,4381.008888888889,4381.008888888889,7885.326,0.5,0.0,1.0
BUILDING MARSHALS OFFICE,QUEENS,1,35.02166666666667,35.02166666666667,35.02166666666667,0.0,0.0,1.0
BUILDING/USE,BRONX,338,2229.9247690664038,1224.2570833333334,5503.171138888889,0.08579881656804733,0.13313609467455623,2.4289940828402368
BUILDING/USE,BROOKLYN,812,2273.377109332239,1299.1605555555557,6334.422805555553,0.11083743842364532,0.16133004926108374,2.1403940886699506
BUILDING/USE,MANHATTAN,189,1093.4704423868313,513.8886111111111,2117.203944444448,0.12169312169312169,0.13227513227513227,1.7724867724867726
BUILDING/USE,QUEENS,1379,3525.443824429941,2224.9475,8456.953111111112,0.09354604786076867,0.20522117476432197,4.105873821609862
BUILDING/USE,STATEN ISLAND,180,3113.0790324074073,1388.6504166666668,8709.163444444443,0.11666666666666667,0.07777777777777778,1.4222222222222223
BUS STOP SHELTER COMPLAINT,BRONX,25,177.93102222222223,189.02972222222223,315.55966666666666,0.0,0.04,1.16
BUS STOP SHELTER COMPLAINT,BROOKLYN,55,174.14058080808078,133.98,361.5139444444445,0.12727272727272726,0.07272727272727272,1.3818181818181818
BUS STOP SHELTER COMPLAINT,MANHATTAN,49,237.20874149659863,214.97666666666666,485.5907777777779,0.04081632653061224,0.14285714285714285,1.7142857142857142
BUS STOP SHELTER COMPLAINT,QUEENS,49,245.41430272108843,146.04222222222222,556.8136111111112,0.02040816326530612,0.061224489795918366,1.2857142857142858
BUS STOP SHELTER COMPLAINT,STATEN ISLAND,19,195.701783625731,87.98194444444445,509.16783333333314,0.21052631578947367,0.15789473684210525,1.5789473684210527
BUS STOP SHELTER PLACEMENT,BRONX,6,85.40569444444445,25.768472222222222,229.67513888888888,0.5,0.0,1.0
BUS STOP SHELTER PLACEMENT,BROOKLYN,9,114.88851851851852,10.5275,211.83588888888906,0.4444444444444444,0.0,1.3333333333333333
BUS STOP SHELTER PLACEMENT,MANHATTAN,5,84.2306111111111,11.518333333333333,229.30183333333335,0.4,0.2,1.6
BUS STOP SHELTER PLACEMENT,QUEENS,9,32.12663580246914,15.809444444444445,71.32483333333334,0.4444444444444444,0.0,1.2222222222222223
BUS STOP SHELTER PLACEMENT,STATEN ISLAND,7,75.11531746031746,54.68055555555556,162.4210000000001,0.2857142857142857,0.0,1.0
CALORIE LABELING,BROOKLYN,1,4567.069166666667,4567.069166666667,4567.069166666667,0.0,0.0,1.0
CALORIE LABELING,MANHATTAN,1,11480.837222222222,11480.837222222222,11480.837222222222,0.0,0.0,1.0
CALORIE LABELING,QUEENS,2,6230.454166666666,6230.454166666666,6447.992166666667,0.0,0.0,1.0
CANNABIS RETAILER,BRONX,5,822.7152777777777,814.055,903.7419444444445,0.0,0.4,2.0
CANNABIS RETAILER,BROOKLYN,11,1024.2170202020202,1107.788611111111,1161.1788888888889,0.0,0.09090909090909091,1.4545454545454546
CANNABIS RETAILER,MANHATTAN,6,972.8969444444443,954.3133333333333,1052.601111111111,0.0,0.3333333333333333,3.0
CANNABIS RETAILER,QUEENS,5,994.2726666666665,949.3611111111111,1077.875388888889,0.0,0.0,1.2
CANNABIS RETAILER,STATEN ISLAND,1,779.2722222222222,779.2722222222222,779.2722222222222,0.0,0.0,1.0
COLLECTION TRUCK NOISE,BROOKLYN,2,12.441666666666666,12.441666666666666,17.848333333333333,0.5,0.0,1.0
COLLECTION TRUCK NOISE,MANHATTAN,6,43.083333333333336,38.6,73.50833333333333,0.16666666666666666,0.0,1.0
COLLECTION TRUCK NOISE,QUEENS,3,16.844444444444445,21.5,25.54,0.3333333333333333,0.0,1.3333333333333333
COMMERCIAL DISPOSAL COMPLAINT,BRONX,19,16.099605263157894,11.654722222222222,32.19344444444444,0.42105263157894735,0.0,1.2105263157894737
COMMERCIAL DISPOSAL COMPLAINT,BROOKLYN,83,107.23971887550202,31.703055555555554,282.90577777777776,0.25301204819277107,0.26506024096385544,11.289156626506024
COMMERCIAL DISPOSAL COMPLAINT,MANHATTAN,112,187.63851190476188,50.45152777777778,574.8240833333334,0.19642857142857142,0.32142857142857145,2.794642857142857
COMMERCIAL DISPOSAL COMPLAINT,QUEENS,46,287.43332125603865,27.40277777777778,138.54972222222221,0.21739130434782608,0.021739130434782608,1.173913043478261
COMMERCIAL DISPOSAL COMPLAINT,STATEN ISLAND,3,15.514999999999999,1.2013888888888888,36.4285,0.6666666666666666,0.3333333333333333,1.6666666666666667
CONSTRUCTION SAFETY ENFORCEMENT,BRONX,5,0.0,0.0,0.0,1.0,0.0,1.0
CONSTRUCTION SAFETY ENFORCEMENT,BROOKLYN,23,0.0,0.0,0.0,1.0,0.13043478260869565,1.3478260869565217
CONSTRUCTION SAFETY ENFORCEMENT,MANHATTAN,16,0.0,0.0,0.0,1.0,0.0,1.125
CONSTRUCTION SAFETY ENFORCEMENT,QUEENS,10,0.0,0.0,0.0,1.0,0.2,1.5
CONSTRUCTION SAFETY ENFORCEMENT,STATEN ISLAND,1,0.0,0.0,0.0,1.0,0.0,2.0
CONSUMER COMPLAINT,BRONX,523,460.7173682812832,39.99472222222222,758.8907222222222,0.021032504780114723,0.2734225621414914,3.835564053537285
CONSUMER COMPLAINT,BROOKLYN,983,395.4963914321239,43.61333333333334,765.1912777777779,0.028484231943031537,0.2624618514750763,4.92675483214649
CONSUMER COMPLAINT,MANHATTAN,912,364.42040570175436,42.026250000000005,739.6862222222221,0.03618421052631579,0.3125,5.49780701754386
CONSUMER COMPLAINT,QUEENS,810,378.4636152263374,42.62875,774.7421111111111,0.019753086419753086,0.2580246913580247,2.7641975308641977
CONSUMER COMPLAINT,STATEN ISLAND,109,424.6865341488277,27.996111111111112,828.3380555555557,0.01834862385321101,0.1926605504587156,3.385321100917431
COOLING TOWER,MANHATTAN,1,649.9177777777778,649.9177777777778,649.9177777777778,0.0,0.0,1.0
COOLING TOWER,QUEENS,2,2366.6937500000004,2366.6937500000004,4202.118750000001,0.0,0.0,1.5
COVID-19 NON-ESSENTIAL CONSTRUCTION,BRONX,9,159.6992901234568,0.0,646.9045555555556,0.5555555555555556,0.1111111111111111,1.3333333333333333
COVID-19 NON-ESSENTIAL CONSTRUCTION,BROOKLYN,60,38.75143055555555,0.0,35.16444444444445,0.6333333333333333,0.3333333333333333,2.716666666666667
COVID-19 NON-ESSENTIAL CONSTRUCTION,MANHATTAN,51,20.78678649237473,0.0,40.053333333333335,0.6274509803921569,0.27450980392156865,2.411764705882353
COVID-19 NON-ESSENTIAL CONSTRUCTION,QUEENS,33,37.78675925925926,0.0,14.883833333333333,0.7878787878787878,0.15151515151515152,1.4242424242424243
COVID-19 NON-ESSENTIAL CONSTRUCTION,STATEN ISLAND,7,2.092698412698413,0.0,5.453000000000003,0.5714285714285714,0.0,1.0
CRANES AND DERRICKS,BROOKLYN,8,5.764861111111111,4.544722222222222,13.286,0.5,0.125,1.25
CRANES AND DERRICKS,MANHATTAN,7,7.083650793650794,6.585833333333333,15.465,0.2857142857142857,0.0,1.2857142857142858
CRANES AND DERRICKS,QUEENS,3,6.560092592592593,5.658333333333333,12.349222222222224,0.3333333333333333,0.0,1.0
CURB CONDITION,BRONX,66,543.2711826599326,453.5155555555556,1067.586111111111,0.045454545454545456,0.12121212121212122,1.7424242424242424
CURB CONDITION,BROOKLYN,371,618.4352800239592,334.0155555555556,1308.0177777777778,0.0026954177897574125,0.07008086253369272,1.3908355795148248
CURB CONDITION,MANHATTAN,118,551.7304708097928,325.67555555555555,1022.9625555555555,0.01694915254237288,0.09322033898305085,1.4322033898305084
CURB CONDITION,QUEENS,295,659.3740037664783,443.35527777777776,1385.8994444444443,0.01694915254237288,0.15254237288135594,2.5728813559322035
CURB CONDITION,STATEN ISLAND,39,666.1865811965812,268.89472222222224,1851.0410000000024,0.0,0.1794871794871795,1.564102564102564
DAMAGED TREE,BRONX,384,2142.100773292824,95.27013888888888,5471.928805555554,0.07291666666666667,0.21354166666666666,2.3567708333333335
DAMAGED TREE,BROOKLYN,1508,2040.2775390509871,263.12152777777777,4198.554972222222,0.04111405835543767,0.3169761273209549,2.833554376657825
DAMAGED TREE,MANHATTAN,207,667.2466451959206,78.00666666666666,1509.4101111111113,0.1111111111111111,0.21256038647342995,2.1594202898550723
DAMAGED TREE,QUEENS,1756,1940.7811109529234,197.42236111111112,5283.835,0.05125284738041002,0.30637813211845105,2.880979498861048
DAMAGED TREE,STATEN ISLAND,563,1808.1121482139333,117.22916666666667,5715.7267777777815,0.08880994671403197,0.16341030195381884,1.8046181172291296
DAY CARE,BRONX,44,12806.308731060608,8753.465277777777,31886.493972222223,0.0,0.022727272727272728,1.2045454545454546
DAY CARE,BROOKLYN,70,18817.899341269844,21513.91847222222,37032.03672222222,0.0,0.11428571428571428,1.7571428571428571
DAY CARE,MANHATTAN,37,14524.716921921923,13123.388611111111,34236.204722222225,0.0,0.24324324324324326,1.864864864864865
DAY CARE,QUEENS,62,18926.429431003584,23037.473749999997,33199.382277777775,0.0,0.3064516129032258,11.435483870967742
DAY CARE,STATEN ISLAND,14,18580.64113095238,18033.482083333332,37959.45452777778,0.0,0.21428571428571427,2.5
DEAD ANIMAL,BRONX,131,119.31583757421544,93.08277777777778,264.04,0.030534351145038167,0.16793893129770993,1.7328244274809161
DEAD ANIMAL,BROOKLYN,364,98.97588446275945,55.32472222222222,214.66655555555553,0.024725274725274724,0.25,2.368131868131868
DEAD ANIMAL,MANHATTAN,77,251.38298701298703,170.47722222222222,581.8380000000001,0.0,0.12987012987012986,1.6233766233766234
DEAD ANIMAL,QUEENS,318,85.08982354996506,47.44208333333333,192.35358333333332,0.02830188679245283,0.14465408805031446,1.8144654088050314
DEAD ANIMAL,STATEN ISLAND,134,57.605570066335,42.685833333333335,98.10472222222222,0.06716417910447761,0.19402985074626866,2.0
DEAD/DYING TREE,BRONX,91,3958.0542704517707,864.5397222222222,12986.198611111111,0.054945054945054944,0.03296703296703297,1.1868131868131868
DEAD/DYING TREE,BROOKLYN,289,2432.064451172626,548.4869444444445,7249.500333333326,0.006920415224913495,0.07612456747404844,1.4013840830449826
DEAD/DYING TREE,MANHATTAN,77,2018.3266810966813,499.0519444444444,4902.65927777778,0.025974025974025976,0.09090909090909091,1.7792207792207793
DEAD/DYING TREE,QUEENS,476,4094.0567139355744,1064.071388888889,13480.68125,0.018907563025210083,0.058823529411764705,1.3739495798319328
DEAD/DYING TREE,STATEN ISLAND,220,3699.60752020202,1137.8244444444445,11716.501694444443,0.05909090909090909,0.031818181818181815,1.2636363636363637
DEP SIDEWALK CONDITION,BROOKLYN,1,2.1355555555555554,2.1355555555555554,2.1355555555555554,1.0,0.0,1.0
DEP STREET CONDITION,MANHATTAN,1,139.94694444444445,139.94694444444445,139.94694444444445,0.0,0.0,1.0
DEP STREET CONDITION,QUEENS,18,181.32364197530865,170.65013888888888,368.72975,0.0,0.0,1.0555555555555556
DEPT OF INVESTIGATIONS,STATEN ISLAND,1,40.25277777777778,40.25277777777778,40.25277777777778,0.0,0.0,2.0
DERELICT BICYCLE,BRONX,5,25.896666666666665,25.966666666666665,42.95333333333333,0.2,0.6,4.4
DERELICT BICYCLE,BROOKLYN,31,101.89032258064516,26.183333333333334,208.71666666666667,0.16129032258064516,0.03225806451612903,1.2258064516129032
DERELICT BICYCLE,MANHATTAN,22,179.9568181818182,50.175,521.4716666666668,0.09090909090909091,0.0,1.3636363636363635
DERELICT BICYCLE,QUEENS,5,32.35333333333333,21.083333333333332,60.81666666666667,0.2,0.0,1.0
DERELICT VEHICLES,BRONX,1420,32.54578638497653,21.691666666666666,71.95500000000001,0.2443661971830986,0.27887323943661974,2.454929577464789
