complaint_type,borough,request_count,avg_response_hours,median_response_hours,p90_response_hours,same_day_rate,repeat_proxy_rate,avg_repeat_group_count,operational_segment,segment_name,pca1,pca2
ILLEGAL PARKING,BROOKLYN,24380,2.296012270987148,1.0148611111111112,4.653166666666669,0.904388843314192,0.7150943396226415,34.25442986054143,0,High-volume fast-moving workload,-2.6028674848314988,6.013213971113447
NOISE - RESIDENTIAL,BRONX,22035,15.582719221944885,1.4927777777777778,13.884000000000018,0.7561152711595189,0.8848649875198548,7185.592194236442,0,High-volume fast-moving workload,-3.8635392446380545,14.00888007228416
ILLEGAL PARKING,QUEENS,19794,2.8395912060893873,1.4445833333333333,6.731416666666667,0.8345458219662524,0.6771749014852986,27.63024148731939,0,High-volume fast-moving workload,-2.258140648030725,4.9168815696444454
HEAT/HOT WATER,BRONX,14071,42.5841188141094,37.01722222222222,81.01777777777778,0.15286760002842725,0.8890626110439912,46.074337289460594,0,High-volume fast-moving workload,-1.5479380387675419,3.698045092964007
NOISE - RESIDENTIAL,BROOKLYN,13959,2.022185706553319,0.7072222222222222,3.246333333333335,0.8616663084748191,0.698689017837954,20.918977004083388,0,High-volume fast-moving workload,-1.958287129222101,3.8157801927495214
NOISE - RESIDENTIAL,QUEENS,10931,8.071521132558777,0.8958333333333334,4.322777777777778,0.8250846217180496,0.651175555758851,16.856097337846492,0,High-volume fast-moving workload,-1.720903812760103,3.042986665093005
HEAT/HOT WATER,BROOKLYN,10648,54.10953598484848,46.13,103.90177777777788,0.11081893313298272,0.7736664162283997,18.50910969196093,0,High-volume fast-moving workload,-1.2260936524707178,2.63810729180457
ILLEGAL PARKING,BRONX,10166,3.558324644238967,1.754722222222222,8.24375,0.8515640369860319,0.6970293133975999,14.345465276411568,0,High-volume fast-moving workload,-1.729539867744378,3.030754060541318
NOISE - RESIDENTIAL,MANHATTAN,10017,1.2011890619280556,0.6183333333333333,2.8008888888888888,0.8853948287910552,0.7963462114405511,25.427573125686333,0,High-volume fast-moving workload,-1.8206149367685431,3.304346144819312
BLOCKED DRIVEWAY,QUEENS,10013,2.8976101068610807,1.5166666666666666,6.712833333333335,0.8461000699091181,0.4708878458004594,4.349345850394487,0,High-volume fast-moving workload,-1.5537892288071407,2.393082384402063
NOISE - HELICOPTER,MANHATTAN,2113,8541.427744123679,1444.2233333333334,26967.796944444442,0.034074775201135825,0.8873639375295788,83.65168007572173,1,Long-duration service burden,3.2114701694798597,2.495180441108815
NEW TREE REQUEST,BROOKLYN,787,13942.544065014825,10756.631388888889,31147.25211111111,0.0,0.3405336721728081,3.282083862770013,1,Long-duration service burden,7.118520925593528,1.8624007187898037
OVERGROWN TREE/BRANCHES,BROOKLYN,687,11264.09900493288,6808.979166666667,29922.3455,0.008733624454148471,0.10334788937409024,1.787481804949054,1,Long-duration service burden,5.816015116136875,0.716981277969481
FOOD ESTABLISHMENT,MANHATTAN,531,12610.923253295668,7982.466111111111,31823.970833333333,0.007532956685499058,0.160075329566855,2.463276836158192,1,Long-duration service burden,6.444860528269605,1.0562586300860515
NEW TREE REQUEST,QUEENS,502,18235.360593182824,14892.323194444445,40663.427472222225,0.00398406374501992,0.2450199203187251,2.4820717131474104,1,Long-duration service burden,9.659311691523904,2.385131794396431
NEW TREE REQUEST,MANHATTAN,500,12817.985449444444,9430.685,28701.9405,0.002,0.306,2.734,1,Long-duration service burden,6.4638101095392475,1.4806699942548378
FOOD ESTABLISHMENT,BROOKLYN,431,13981.97265790152,9773.021944444445,33773.748611111114,0.009280742459396751,0.14617169373549885,1.8747099767981439,1,Long-duration service burden,7.264196720174962,1.2766321534961254
FOOD ESTABLISHMENT,QUEENS,356,12366.145173220973,8292.264166666668,31287.20138888889,0.0028089887640449437,0.19382022471910113,3.002808988764045,1,Long-duration service burden,6.415759232183024,1.10256726235089
ROOT/SEWER/SIDEWALK CONDITION,BROOKLYN,347,8150.41210454691,4563.431666666666,21518.80405555556,0.0,0.07492795389048991,1.377521613832853,1,Long-duration service burden,4.129339797867398,-0.008916935239297106
MOBILE FOOD VENDOR,MANHATTAN,257,11192.332865326416,7084.320555555556,29740.33827777778,0.0,0.6575875486381323,30.67704280155642,1,Long-duration service burden,5.4802612765823255,2.1150933140068013
