agency_name,request_count,closed_response_records,avg_response_hours,median_response_hours,p90_response_hours,resolved_within_24h_rate,resolved_within_48h_rate,delay_24h_rate,delay_48h_rate,repeat_proxy_rate,workload_share,volume_score,delay_score,response_score,repeat_score,operational_stress_score,stress_rank,management_priority_tier
ECONOMIC DEVELOPMENT CORPORATION,4266,3303,7446.775588185825,1334.9325,26260.783833333335,0.0326975476839237,0.03330305782621859,0.9673024523160763,0.9666969421737814,0.8912330051570558,0.008550520427245413,0.011881860879386258,1.0,1.0,1.0,0.6541586513077852,1,Critical
DEPARTMENT OF HOUSING PRESERVATION AND DEVELOPMENT,101898,98920,370.2419771981848,96.67555555555555,888.1501944444451,0.12294783663566518,0.28617064294379296,0.8770521633643348,0.713829357056207,0.5998743841881097,0.20423838033179867,0.46012368521332714,0.7370535091024594,0.04918002634244974,0.5722908701931935,0.47783897835287126,2,Critical
NEW YORK CITY POLICE DEPARTMENT,219489,219390,4.216736833442221,0.9175,5.2716666666666665,0.9895710834586808,0.9949724235379918,0.010428916541319113,0.005027576462008296,0.6594499040954216,0.439930890308408,1.0,0.0,0.0,0.6597466444297838,0.44896199666446757,3,Critical
DEPARTMENT OF PARKS AND RECREATION,18458,16093,4570.4368851018735,530.6427777777777,15962.143333333335,0.17833840800347978,0.22997576586093332,0.8216615919965202,0.7700242341390666,0.2894679813630946,0.036996133625432685,0.07703926798922,0.7954882259464002,0.6135282554653506,0.11661994479813353,0.40580885439293723,4,Critical
TAXI AND LIMOUSINE COMMISSION,4363,3403,1500.929906291834,1105.7319444444445,3466.353500000003,0.1413458712900382,0.18777549221275344,0.8586541287099618,0.8122245077872465,0.3080449232179693,0.008744941543382968,0.012327201105545634,0.8393705363878331,0.2011019596017605,0.14389055587116903,0.3179296566043183,5,High
DEPARTMENT OF SANITATION,57192,56585,247.85614593090042,52.922222222222224,243.23266666666666,0.2307325262878855,0.45734735353892375,0.7692674737121146,0.5426526464610762,0.2880472793397678,0.11463229354782459,0.2548723434537282,0.5590539630022928,0.03273597346874679,0.11453438019705509,0.2806488608328004,6,High
DEPARTMENT OF BUILDINGS,14563,14560,1208.0740757211538,215.48236111111112,3423.00302777778,0.2879120879120879,0.349793956043956,0.7120879120879121,0.650206043956044,0.24898715923916775,0.02918922385887833,0.059156791897562566,0.6708942704195544,0.16175315008345006,0.057194837873515564,0.2629030139877305,7,High
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,12172,11099,3772.644425423712,19.98,16079.7445,0.517163708442202,0.5823948103432741,0.482836291557798,0.41760518965672583,0.2485211961879724,0.0243968435631578,0.048179384879551534,0.42902231047918526,0.5063349533212641,0.05651081263174955,0.25531309041061384,8,Moderate
DEPARTMENT OF TRANSPORTATION,30526,28741,327.1871712207493,42.81666666666667,503.45,0.41755680038968723,0.5235725966389478,0.5824431996103128,0.47642740336105216,0.2837908668020704,0.061184525682628575,0.13244510148706906,0.49018908546612633,0.04339507968131422,0.10828604439513838,0.21833443375584569,9,Moderate
MAYOR'S OFFICE OF SPECIAL ENFORCEMENT,1678,1648,234.62398749325783,13.677777777777777,768.8135555555556,0.5370145631067961,0.5989077669902912,0.46298543689320387,0.40109223300970875,0.43444576877234803,0.003363284875039335,0.0,0.41185117325075216,0.030958069027287365,0.32944468665033017,0.17916366877823264,10,Moderate
DEPARTMENT OF ENVIRONMENTAL PROTECTION,26297,25758,113.93035236086308,21.075,192.0466666666666,0.5395605248854725,0.6627843776690737,0.46043947511452754,0.33721562233092633,0.339696543331939,0.05270816588731192,0.11302918585379067,0.34542854094458053,0.014741383671757579,0.1903545556351042,0.17469023741181802,11,Monitor
DEPARTMENT OF CONSUMER AND WORKER PROTECTION,2733,2601,232.43641419966679,39.99388888888889,738.6630555555555,0.3575547866205306,0.5670895809304114,0.6424452133794695,0.4329104190695886,0.21002561287961946,0.005477865055710669,0.004843648851527242,0.4449375823580339,0.03066414144978577,0.0,0.14130938009540187,12,Monitor
DEPARTMENT OF HOMELESS SERVICES,5282,4305,68.48948890179378,4.523611111111111,72.12711111111108,0.8318234610917538,0.8780487804878049,0.16817653890824621,0.12195121951219512,0.5513063233623627,0.01058693129318103,0.016546455413179315,0.12158403628012686,0.008635840623104053,0.5009938446818107,0.11914271510554324,13,Monitor
