borough,complaint_type,request_count,closed_response_records,avg_response_hours,median_response_hours,p90_response_hours,resolved_within_24h_rate,resolved_within_48h_rate,delay_24h_rate,delay_48h_rate,repeat_proxy_rate,workload_share,volume_score,delay_score,response_score,repeat_score,operational_stress_score,stress_rank,management_priority_tier
MANHATTAN,NOISE - HELICOPTER,2679,2113,8541.427744123679,1444.2233333333334,26967.796944444442,0.03454803596781827,0.035494557501183154,0.9654519640321817,0.9645054424988169,0.8928704740574841,0.006084570764080364,0.09093192665159508,0.9703040724136394,0.46837987314832324,0.9265000411890071,0.5555683768601658,1,Critical
QUEENS,NEW TREE REQUEST,519,502,18235.360593182824,14892.323194444445,40663.427472222225,0.00597609561752988,0.00597609561752988,0.9940239043824701,0.9940239043824701,0.2466281310211946,0.0011787578299954121,0.0005023863350916855,1.0,1.0,0.2258458447427953,0.5340527119287013,2,Critical
QUEENS,NOISE - HELICOPTER,966,783,6613.955964240102,1443.7783333333334,21122.60922222223,0.02554278416347382,0.02554278416347382,0.9744572158365262,0.9744572158365262,0.9606625258799172,0.0021939885621879924,0.01921627731725697,0.9803156760519762,0.3626763565178995,1.0,0.5233556711802126,3,Critical
BROOKLYN,NEW TREE REQUEST,815,787,13942.544065014825,10756.631388888889,31147.25211111111,0.005082592121982211,0.010165184243964422,0.9949174078780177,0.9898348157560356,0.3398773006134969,0.001851035898740387,0.012894582600686594,0.9957857264720037,0.7645797941052229,0.32694634162915026,0.5052067319172585,4,Critical
MANHATTAN,NEW TREE REQUEST,520,500,12817.985449444444,9430.685,28701.9405,0.01,0.012,0.99,0.988,0.3,0.001181029039687118,0.0005442518630159926,0.993939879759519,0.7029084370646493,0.28371148040585104,0.4815108615537188,5,Critical
BRONX,NOISE - RESIDENTIAL,22038,22035,15.582719221944885,1.4927777777777778,13.884000000000018,0.9370093033809848,0.9612888586339914,0.0629906966190152,0.038711141366008624,0.8848806606770124,0.05005291918581675,0.9014066817382567,0.038943873678830315,0.0008182669117064261,0.9178375071811803,0.4650147801715573,6,Critical
BROOKLYN,ILLEGAL PARKING,24393,24380,2.296012270987148,1.0148611111111112,4.653166666666669,0.9965135356849877,0.9990155865463495,0.003486464315012305,0.0009844134536505333,0.7150821957118846,0.055401618009784374,1.0,0.0009903317710071497,8.961725581420881e-05,0.7337424717661747,0.46037639374739114,7,Critical
BRONX,UNSANITARY CONDITION,5232,5043,495.473761154075,265.55027777777775,1156.7577777777778,0.026373190561173904,0.07515367836605195,0.9736268094388261,0.9248463216339481,0.6758409785932722,0.011882969107005774,0.19781461944235118,0.9304065199604047,0.027135731717716844,0.6911972505436947,0.4574638067180419,8,Critical
MANHATTAN,FOOD ESTABLISHMENT,558,531,12610.923253295668,7982.466111111111,31823.970833333333,0.007532956685499058,0.009416195856873822,0.992467043314501,0.9905838041431262,0.15591397849462366,0.001267335007971946,0.0021351419241396634,0.9965392177952893,0.6915530426445732,0.12749380648702516,0.4571437445140041,9,Critical
BROOKLYN,NOISE - HELICOPTER,567,357,3411.0924151882978,851.2025,9784.736500000003,0.0392156862745098,0.0392156862745098,0.9607843137254902,0.9607843137254902,0.7883597883597884,0.0012877758951973,0.0025119316754584277,0.9665605721246414,0.1870297172490098,0.8131898390695994,0.45023176703404477,10,Critical
BRONX,HEAT/HOT WATER,14292,14071,42.5841188141094,37.01722222222222,81.01777777777778,0.3117759931774572,0.6379788216900008,0.6882240068225428,0.3620211783099993,0.8878393506856983,0.0324601289138621,0.5771163024365737,0.36419765833991913,0.0022990371728448147,0.9210453108679976,0.44986660741954515,11,Critical
BROOKLYN,UNSANITARY CONDITION,4824,4642,544.5301689286226,252.20194444444445,1317.3436944444447,0.018741921585523482,0.06355019388194744,0.9812580784144765,0.9364498061180526,0.5422885572139303,0.010956315552789727,0.18073348404923387,0.9420797648722694,0.02982600966063902,0.5464000773263804,0.4338058624099975,12,Critical
MANHATTAN,UNSANITARY CONDITION,3027,2890,874.3012101114956,324.85541666666666,2191.378611111111,0.013494809688581315,0.03875432525951557,0.9865051903114187,0.9612456747404844,0.6009250082590023,0.006874951736794051,0.10550113036925396,0.9670247068531527,0.04791081852772991,0.6099735585941275,0.42811100517984985,13,Critical
BROOKLYN,OVERGROWN TREE/BRANCHES,963,687,11264.09900493288,6808.979166666667,29922.3455,0.03784570596797671,0.056768558951965066,0.9621542940320232,0.9432314410480349,0.09865005192107996,0.002187174933112875,0.01909068073348405,0.9489021711545361,0.6176925271128371,0.06540841253058477,0.4247021569052354,14,Critical
BROOKLYN,MAINTENANCE OR FACILITY,1085,1017,2266.5821083251394,697.0147222222222,6224.472388888887,0.03146509341199607,0.04424778761061947,0.9685349065880039,0.9557522123893806,0.6654377880184332,0.002464262515501006,0.02419827514024952,0.9614982176742867,0.12426419947706681,0.6799181395240671,0.42375942242539677,15,Critical
BROOKLYN,HEAT/HOT WATER,10763,10648,54.10953598484848,46.13,103.90177777777788,0.22163786626596543,0.5252629601803156,0.7783621337340345,0.47473703981968446,0.7725541205983462,0.024445029911831638,0.42937285439169387,0.4775911703196024,0.0029310968161011097,0.796053376929626,0.41355207603563765,16,Critical
