stress_rank,borough,complaint_type,request_count,workload_share,avg_response_hours,delay_48h_rate,repeat_proxy_rate,operational_stress_score,management_priority_tier,management_action
1,MANHATTAN,NOISE - HELICOPTER,2679,0.006084570764080364,8541.427744123679,0.9645054424988169,0.8928704740574841,0.5555683768601658,Critical,"Prioritize proactive staffing, backlog monitoring, and repeat-complaint intervention."
2,QUEENS,NEW TREE REQUEST,519,0.0011787578299954121,18235.360593182824,0.9940239043824701,0.2466281310211946,0.5340527119287013,Critical,"Prioritize proactive staffing, backlog monitoring, and repeat-complaint intervention."
3,QUEENS,NOISE - HELICOPTER,966,0.0021939885621879924,6613.955964240102,0.9744572158365262,0.9606625258799172,0.5233556711802126,Critical,"Prioritize proactive staffing, backlog monitoring, and repeat-complaint intervention."
4,BROOKLYN,NEW TREE REQUEST,815,0.001851035898740387,13942.544065014825,0.9898348157560356,0.3398773006134969,0.5052067319172585,Critical,"Prioritize proactive staffing, backlog monitoring, and repeat-complaint intervention."
5,MANHATTAN,NEW TREE REQUEST,520,0.001181029039687118,12817.985449444444,0.988,0.3,0.4815108615537188,Critical,"Prioritize proactive staffing, backlog monitoring, and repeat-complaint intervention."
6,BRONX,NOISE - RESIDENTIAL,22038,0.05005291918581675,15.582719221944885,0.038711141366008624,0.8848806606770124,0.4650147801715573,Critical,"Prioritize proactive staffing, backlog monitoring, and repeat-complaint intervention."
7,BROOKLYN,ILLEGAL PARKING,24393,0.055401618009784374,2.296012270987148,0.0009844134536505333,0.7150821957118846,0.46037639374739114,Critical,"Prioritize proactive staffing, backlog monitoring, and repeat-complaint intervention."
8,BRONX,UNSANITARY CONDITION,5232,0.011882969107005774,495.473761154075,0.9248463216339481,0.6758409785932722,0.4574638067180419,Critical,"Prioritize proactive staffing, backlog monitoring, and repeat-complaint intervention."
9,MANHATTAN,FOOD ESTABLISHMENT,558,0.001267335007971946,12610.923253295668,0.9905838041431262,0.15591397849462366,0.4571437445140041,Critical,"Prioritize proactive staffing, backlog monitoring, and repeat-complaint intervention."
10,BROOKLYN,NOISE - HELICOPTER,567,0.0012877758951973,3411.0924151882978,0.9607843137254902,0.7883597883597884,0.45023176703404477,Critical,"Prioritize proactive staffing, backlog monitoring, and repeat-complaint intervention."
11,BRONX,HEAT/HOT WATER,14292,0.0324601289138621,42.5841188141094,0.3620211783099993,0.8878393506856983,0.44986660741954515,Critical,"Prioritize proactive staffing, backlog monitoring, and repeat-complaint intervention."
12,BROOKLYN,UNSANITARY CONDITION,4824,0.010956315552789727,544.5301689286226,0.9364498061180526,0.5422885572139303,0.4338058624099975,Critical,"Prioritize proactive staffing, backlog monitoring, and repeat-complaint intervention."
13,MANHATTAN,UNSANITARY CONDITION,3027,0.006874951736794051,874.3012101114956,0.9612456747404844,0.6009250082590023,0.42811100517984985,Critical,"Prioritize proactive staffing, backlog monitoring, and repeat-complaint intervention."
14,BROOKLYN,OVERGROWN TREE/BRANCHES,963,0.002187174933112875,11264.09900493288,0.9432314410480349,0.09865005192107996,0.4247021569052354,Critical,"Prioritize proactive staffing, backlog monitoring, and repeat-complaint intervention."
15,BROOKLYN,MAINTENANCE OR FACILITY,1085,0.002464262515501006,2266.5821083251394,0.9557522123893806,0.6654377880184332,0.42375942242539677,Critical,"Prioritize proactive staffing, backlog monitoring, and repeat-complaint intervention."
16,BROOKLYN,HEAT/HOT WATER,10763,0.024445029911831638,54.10953598484848,0.47473703981968446,0.7725541205983462,0.41355207603563765,Critical,"Prioritize proactive staffing, backlog monitoring, and repeat-complaint intervention."
17,MANHATTAN,HEAT/HOT WATER,9181,0.020851976179552752,61.28882637968282,0.473376049491825,0.8627600479250627,0.40470927788973066,Critical,"Prioritize proactive staffing, backlog monitoring, and repeat-complaint intervention."
18,QUEENS,MAINTENANCE OR FACILITY,711,0.0016148300908029635,4758.0156539548025,0.8389830508474576,0.5682137834036568,0.3945526627163622,Critical,"Prioritize proactive staffing, backlog monitoring, and repeat-complaint intervention."
19,BRONX,PLUMBING,3148,0.0071497681094904765,498.31106192509856,0.8544678055190539,0.5657560355781448,0.3878146508961192,Critical,"Prioritize proactive staffing, backlog monitoring, and repeat-complaint intervention."
20,BRONX,PAINT/PLASTER,3141,0.007133869641648535,444.2622332160657,0.8568601583113457,0.5641515440942375,0.3875803502966656,Critical,"Prioritize proactive staffing, backlog monitoring, and repeat-complaint intervention."
21,QUEENS,ILLEGAL PARKING,19807,0.04498585036362067,2.8395912060893873,0.0008083257552793776,0.6771848336446711,0.38696762041886296,Critical,"Prioritize proactive staffing, backlog monitoring, and repeat-complaint intervention."
22,MANHATTAN,FOR HIRE VEHICLE COMPLAINT,1397,0.003172879939313277,1910.6018852539542,0.9893899204244032,0.3707945597709377,0.3866609845961926,Critical,"Prioritize proactive staffing, backlog monitoring, and repeat-complaint intervention."
23,BRONX,DOOR/WINDOW,2218,0.0050375430962039,576.1342501046245,0.9293785310734464,0.46032461677186653,0.38050305249335414,Critical,"Prioritize proactive staffing, backlog monitoring, and repeat-complaint intervention."
24,MANHATTAN,PLUMBING,1880,0.004269874220407273,666.2297256305385,0.8522030117122141,0.5803191489361702,0.3727613485702886,Critical,"Prioritize proactive staffing, backlog monitoring, and repeat-complaint intervention."
25,BROOKLYN,PAINT/PLASTER,2445,0.005553107696221161,427.03280054452426,0.8791719476130122,0.48588957055214727,0.37119899911406257,Critical,"Prioritize proactive staffing, backlog monitoring, and repeat-complaint intervention."
26,QUEENS,UNSANITARY CONDITION,2139,0.0048581175305591265,593.5445198489232,0.8900675024108003,0.48106591865357645,0.37104536746401245,Critical,"Prioritize proactive staffing, backlog monitoring, and repeat-complaint intervention."
27,MANHATTAN,DOOR/WINDOW,1292,0.0029344029216841474,881.5009354940784,0.951993490642799,0.42260061919504643,0.3709739652392996,Critical,"Prioritize proactive staffing, backlog monitoring, and repeat-complaint intervention."
28,BROOKLYN,PLUMBING,2718,0.006173147942056898,521.8020854553943,0.8777692895339955,0.4551140544518028,0.3708103523687286,Critical,"Prioritize proactive staffing, backlog monitoring, and repeat-complaint intervention."
29,BRONX,ELEVATOR,1136,0.002580094209778012,899.9908200707339,0.8532272325375774,0.590669014084507,0.3664157880707045,Critical,"Prioritize proactive staffing, backlog monitoring, and repeat-complaint intervention."
30,BROOKLYN,DOOR/WINDOW,1869,0.004244890913798508,594.9006557734205,0.9378151260504202,0.38362760834670945,0.36566800157608587,Critical,"Prioritize proactive staffing, backlog monitoring, and repeat-complaint intervention."
