complaint_type,request_count,closed_response_records,avg_response_hours,median_response_hours,p90_response_hours,resolved_within_24h_rate,resolved_within_48h_rate,delay_24h_rate,delay_48h_rate,repeat_proxy_rate,workload_share,volume_score,delay_score,response_score,repeat_score,operational_stress_score,stress_rank,management_priority_tier,cumulative_request_count,cumulative_workload_share
ILLEGAL PARKING,64708,64674,2.529265388289301,1.1405555555555555,5.706388888888889,0.9948820236880354,0.998948572842255,0.005117976311964622,0.001051427157744998,0.6870866044384002,0.13649201926261234,1.0,0.0010604851783219927,9.387847043528986e-05,0.7550150990841136,0.4635891861102006,6,Critical,64708,0.13649201926261234
NOISE - RESIDENTIAL,58468,58442,8.100879010148713,0.8738888888888889,6.27202777777778,0.9751377434037165,0.9849765579548955,0.024862256596283494,0.015023442045104548,0.7727816925497708,0.12332965602779283,0.9020315885326718,0.01515286864986688,0.0004744397232823243,0.8578530751446133,0.44902976579774356,7,Critical,123176,0.2598216752904052
HEAT/HOT WATER,40064,39550,51.53052488411294,43.178333333333335,95.5263611111111,0.25587863463969657,0.5652844500632112,0.7441213653603034,0.43471554993678885,0.8280501198083067,0.08450912189740528,0.6130875749678149,0.43846061431662864,0.0034408407636658646,0.924177683994168,0.4854336562855821,4,Critical,163240,0.34433079718781046
NOISE - STREET/SIDEWALK,25428,25415,3.499302063523291,0.6325,3.1585000000000036,0.9970883336612237,0.998858941569939,0.0029116663387763132,0.0011410584300609876,0.7192858266477898,0.053636630181889515,0.3833014098659214,0.0011508886219700617,0.00016013546481592677,0.7936556199787592,0.25358113012944056,30,High,188668,0.3979674273697
BLOCKED DRIVEWAY,24372,24358,3.2695202351953725,1.34125,6.34736111111111,0.9920354708925199,0.9976599063962559,0.007964529107480089,0.00234009360374415,0.4429263088790415,0.05140915332676622,0.366722140232989,0.002360253455863881,0.00014444053935898677,0.4620117171746872,0.19839147080238018,37,Moderate,213040,0.4493765806964662
UNSANITARY CONDITION,15611,15033,601.6933564861009,271.1380555555556,1420.3905000000007,0.022284307856050022,0.06911461451473425,0.9777156921439499,0.9308853854852658,0.5889436935494203,0.03292911097095632,0.22917386253022262,0.9389049414901091,0.04101894123403757,0.6372391734979015,0.46567199860410335,5,Critical,228651,0.48230569166742254
REQUEST LARGE BULKY ITEM COLLECTION,15599,15541,90.07227334148381,63.61666666666667,174.85,0.00456856058168715,0.3077665529888682,0.9954314394183128,0.6922334470111319,0.4097698570421181,0.03290379873396628,0.2289854617389393,0.6981970221013537,0.006073380827518558,0.4222224774947502,0.35415206602875104,15,Critical,244250,0.5152094904013887
STREET CONDITION,11139,10472,100.4866417059248,27.502361111111114,213.72288888888886,0.4477654698242933,0.6136363636363636,0.5522345301757067,0.38636363636363635,0.4139509830325882,0.023496083986002333,0.1589631676453041,0.3896921501295259,0.006784719649872056,0.4272400175193908,0.23798770027259722,33,High,255389,0.5387055743873911
WATER SYSTEM,9417,9192,97.37825826805917,4.666666666666667,203.2883333333332,0.703437771975631,0.7717580504786771,0.296562228024369,0.2282419495213229,0.4586386322608049,0.019863777977931946,0.1319276540961472,0.23020824862256692,0.0065724058794408005,0.4808672148630573,0.18868171692576835,42,Moderate,264806,0.5585693523653231
PLUMBING,9257,8909,543.8956074069916,204.22972222222222,1373.6907777777776,0.054888315186889663,0.1449096419351218,0.9451116848131104,0.8550903580648782,0.5092362536458896,0.01952628148473145,0.1294156435457029,0.8624569416664974,0.03707114705911706,0.5415866457125268,0.3926847840096477,9,Critical,274063,0.5780956338500546
