column_name,sample_distinct_estimate
address_type,6
agency,19
agency_name,19
bbl,84698
borough,6
bridge_highway_direction,123
bridge_highway_name,56
bridge_highway_segment,206
city,95
closed_date,137163
community_board,77
complaint_type,218
council_district,102
created_date,149447
cross_street_1,9527
cross_street_2,9442
descriptor,896
descriptor_2,838
due_date,419
facility_type,1
incident_address,92157
incident_zip,420
intersection_street_1,6887
intersection_street_2,7129
landmark,5760
latitude,100089
location,0
location_type,118
longitude,99236
open_data_channel_type,5
park_borough,6
park_facility_name,400
police_precinct,78
resolution_action_updated_date,111530
resolution_description,707
road_ramp,61
source_file,98
source_parquet,129
status,7
street_name,7139
taxi_company_borough,5
taxi_pick_up_location,1129
unique_key,150000
vehicle_type,6
x_coordinate_state_plane,67730
y_coordinate_state_plane,77014
