column_name,arrow_dtype,semantic_type,nullable,column_order,null_count,null_pct,sample_row_count,sample_non_null_count,sample_distinct_estimate,sample_values,sample_min,sample_max,recommended_action,reason
address_type,string,string,True,1,2790586,13.4325,150000,129896,6,ADDRESS | ADDRESS | ADDRESS | PLACE | BLOCKFACE,,,keep,No immediate issue
agency,string,string,True,2,0,0.0,150000,150000,19,HPD | DSNY | NYPD | DPR | DOT,,,keep,No immediate issue
agency_name,string,string,True,3,0,0.0,150000,150000,19,Department of Housing Preservation and Development | Department of Sanitation | New York City Police Department | Department of Parks and Recreation | Department of Transportation,,,keep,No immediate issue
bbl,string,string,True,4,2413529,11.6176,150000,132692,84698,1018210004.0 | 4035870023.0 | 4156280056.0 | 4162860101.0 | 2055620101.0,,,review,High-cardinality string field
borough,string,string,True,5,38435,0.185,150000,149718,6,MANHATTAN | QUEENS | QUEENS | QUEENS | QUEENS,,,keep,No immediate issue
bridge_highway_direction,string,string,True,6,20704781,99.6629,150000,508,123,North/Westchester County Bound | East/Long Island Bound | East/Long Island Bound | 1 Local Downtown & Brooklyn | North/Bronx Bound,,,drop,Very high missingness
bridge_highway_name,string,string,True,7,20644546,99.3729,150000,948,56,Major Deegan Expwy | F | N | Long Island Expwy | Grand Central Pkwy,,,drop,Very high missingness
bridge_highway_segment,string,string,True,8,20644835,99.3743,150000,946,206,W Fordham Rd  Univ Hts Br (Exit 9) | Stairway | Platform | 21 St / Long Is City (NY 25A) (Exit 14) - Brooklyn-Queens Expwy Staten Island Bronx (I-278) (Exit 17 | Brooklyn-Queens Expwy (I-278) (Exit 4) - La Guardia Airport/Astoria Blvd. (Exit 5),,,drop,Very high missingness
city,string,string,True,9,1067680,5.1393,150000,142340,95,NEW YORK | RIDGEWOOD | FAR ROCKAWAY | FAR ROCKAWAY | QUEENS,,,keep,No immediate issue
closed_date,string,string,True,10,425462,2.048,150000,146937,137163,2026-04-03T13:02:05.000 | 2026-04-03T20:11:09.000 | 2026-04-03T15:58:15.000 | 2026-04-03T17:42:21.000 | 2026-04-03T05:36:10.000,,,review,High-cardinality string field
community_board,string,string,True,11,38435,0.185,150000,149718,77,10 MANHATTAN | 05 QUEENS | 14 QUEENS | 14 QUEENS | 03 QUEENS,,,keep,No immediate issue
complaint_type,string,string,True,12,0,0.0,150000,150000,218,ELECTRIC | Obstruction | Illegal Parking | Animal in a Park | Street Condition,,,keep,No immediate issue
council_district,string,string,True,13,487270,2.3455,150000,146455,102,9.0 | 34.0 | 31.0 | 32.0 | 51.0,,,keep,No immediate issue
created_date,string,string,True,14,0,0.0,150000,150000,149447,2026-04-02T21:25:55.000 | 2026-04-03T09:27:28.000 | 2026-04-03T19:13:36.000 | 2026-04-03T15:42:56.000 | 2026-04-03T17:42:21.000,,,review,High-cardinality string field
cross_street_1,string,string,True,15,5764819,27.7491,150000,108047,9527,71 AVENUE | BEACH 17 STREET | BEACH 138 STREET | MOUNT EVEREST WAY | LAMPORT PL,,,keep,No immediate issue
cross_street_2,string,string,True,16,5766763,27.7584,150000,108002,9442,60 STREET | BEACH 19 STREET | BEACH 139 STREET | 32 AVENUE | ROOSEVELT AVE,,,keep,No immediate issue
descriptor,string,string,True,17,593198,2.8554,150000,145684,896,LIGHTING | Merchandise | Blocked Hydrant | Dead Animal | Pothole,,,keep,No immediate issue
descriptor_2,string,string,True,18,13049295,62.813,150000,56232,838,FIXTURE MISSING/HANGING/LOOSE | Sidewalk | WE | DIMS OR FLICKERS | Damaged,,,keep,No immediate issue
due_date,string,string,True,19,20702578,99.6523,150000,537,419,2026-05-03T13:29:15.000 | 2026-05-01T21:04:33.000 | 2026-04-27T18:49:12.000 | 2026-04-04T06:43:32.000 | 2026-04-04T06:43:32.000,,,drop,Very high missingness
facility_type,string,string,True,20,20549065,98.9133,150000,1624,1,DSNY Garage | DSNY Garage | DSNY Garage | DSNY Garage | DSNY Garage,,,drop,Very high missingness
incident_address,string,string,True,21,874297,4.2084,150000,143616,92157,1829 ADAM C POWELL BOULEVARD | 59-32 MYRTLE AVENUE | 17-08 BROOKHAVEN AVENUE | ROCKAWAY BEACH | 75 STREET,,,review,Possible identifier field
incident_zip,string,string,True,22,300636,1.4471,150000,147759,420,10026.0 | 11385.0 | 11691.0 | 11694.0 | 11370.0,,,review,Possible identifier field
intersection_street_1,string,string,True,23,7378068,35.5145,150000,96388,6887,71 AVENUE | BEACH 17 STREET | BEACH 138 STREET | ARTHUR KILL ROAD | 83 STREET,,,keep,No immediate issue
intersection_street_2,string,string,True,24,7369933,35.4753,150000,96423,7129,60 STREET | BEACH 19 STREET | BEACH 139 STREET | TANGLEWOOD DRIVE | 84 STREET,,,keep,No immediate issue
landmark,string,string,True,25,8906916,42.8736,150000,85425,5760,MYRTLE AVENUE | BROOKHAVEN AVENUE | ROCKAWAY BEACH | BAY PARKWAY | 72 STREET,,,keep,No immediate issue
latitude,string,string,True,26,384230,1.8495,150000,147232,100089,40.80023112217873 | 40.700506169955226 | 40.598913344673896 | 40.57081674495128 | 40.56739356360024,,,review,High-cardinality string field
location,string,string,True,27,20774822,100.0,150000,0,0,,,,drop,Very high missingness
location_type,string,string,True,28,2777587,13.37,150000,129843,118,RESIDENTIAL BUILDING | Sidewalk | Street/Sidewalk | Park | RESIDENTIAL BUILDING,,,keep,No immediate issue
longitude,string,string,True,29,384230,1.8495,150000,147232,99236,-73.95469615818246 | -73.89863266106642 | -73.75093345542008 | -73.85437947966363 | -74.15228255738663,,,review,High-cardinality string field
open_data_channel_type,string,string,True,30,0,0.0,150000,150000,5,PHONE | ONLINE | MOBILE | UNKNOWN | UNKNOWN,,,keep,No immediate issue
park_borough,string,string,True,31,38435,0.185,150000,149718,6,MANHATTAN | QUEENS | QUEENS | QUEENS | QUEENS,,,keep,No immediate issue
