column_name,rank,value,count_in_sample,pct_in_sample
address_type,1,ADDRESS,118108,78.7387
address_type,2,INTERSECTION,9481,6.3207
address_type,3,BLOCKFACE,1571,1.0473
address_type,4,UNRECOGNIZED,507,0.338
address_type,5,PLACE,132,0.088
address_type,6,PLACENAME,97,0.0647
agency,1,NYPD,64910,43.2733
agency,2,HPD,30349,20.2327
agency,3,DSNY,17173,11.4487
agency,4,DOT,9963,6.642
agency,5,DEP,7918,5.2787
agency,6,DPR,5516,3.6773
agency,7,DOB,4362,2.908
agency,8,DOHMH,3594,2.396
agency,9,DHS,1980,1.32
agency,10,TLC,1324,0.8827
agency,11,EDC,1276,0.8507
agency,12,DCWP,815,0.5433
agency,13,OSE,523,0.3487
agency,14,DCA,188,0.1253
agency,15,DOE,67,0.0447
agency_name,1,New York City Police Department,64910,43.2733
agency_name,2,Department of Housing Preservation and Development,30349,20.2327
agency_name,3,Department of Sanitation,17173,11.4487
agency_name,4,Department of Transportation,9963,6.642
agency_name,5,Department of Environmental Protection,7918,5.2787
agency_name,6,Department of Parks and Recreation,5516,3.6773
agency_name,7,Department of Buildings,4362,2.908
agency_name,8,Department of Health and Mental Hygiene,3594,2.396
agency_name,9,Department of Homeless Services,1980,1.32
agency_name,10,Taxi and Limousine Commission,1324,0.8827
agency_name,11,Economic Development Corporation,1276,0.8507
agency_name,12,Department of Consumer and Worker Protection,815,0.5433
agency_name,13,Mayor's Office of Special Enforcement,523,0.3487
agency_name,14,Department of Consumer Affairs,188,0.1253
agency_name,15,Department of Education,67,0.0447
bbl,1,2048330028,1201,0.8007
bbl,2,2048330080,842,0.5613
bbl,3,2048330028.0,515,0.3433
bbl,4,4068290001,323,0.2153
bbl,5,2031430130,183,0.122
bbl,6,2048330083,117,0.078
bbl,7,4068580001,116,0.0773
bbl,8,2025110068,112,0.0747
bbl,9,2048330027,106,0.0707
bbl,10,3000680001,94,0.0627
bbl,11,4142600001,90,0.06
bbl,12,4068290001.0,88,0.0587
bbl,13,2029020036,87,0.058
bbl,14,1011110001,86,0.0573
bbl,15,4067970040,81,0.054
borough,1,BROOKLYN,44871,29.914
borough,2,QUEENS,35796,23.864
borough,3,BRONX,32298,21.532
borough,4,MANHATTAN,30153,20.102
borough,5,STATEN ISLAND,6337,4.2247
borough,6,Unspecified,263,0.1753
bridge_highway_direction,1,1 Downtown,33,0.022
bridge_highway_direction,2,East/Long Island Bound,27,0.018
bridge_highway_direction,3,North/Bronx Bound,26,0.0173
bridge_highway_direction,4,East/Queens Bound,22,0.0147
bridge_highway_direction,5,Southbound/Downtown,17,0.0113
bridge_highway_direction,6,1 Uptown & The Bronx,15,0.01
bridge_highway_direction,7,West/Staten Island Bound,14,0.0093
bridge_highway_direction,8,6 Uptown & The Bronx,14,0.0093
bridge_highway_direction,9,6 Downtown,14,0.0093
bridge_highway_direction,10,North/Westchester County Bound,13,0.0087
bridge_highway_direction,11,Manhattan Bound,12,0.008
bridge_highway_direction,12,West/Brooklyn Bound,12,0.008
bridge_highway_direction,13,South/Long Island Bound,9,0.006
bridge_highway_direction,14,Southbound,8,0.0053
bridge_highway_direction,15,Northbound/Uptown,8,0.0053
bridge_highway_name,1,1,97,0.0647
bridge_highway_name,2,R,71,0.0473
bridge_highway_name,3,F,67,0.0447
bridge_highway_name,4,6,61,0.0407
bridge_highway_name,5,E,50,0.0333
bridge_highway_name,6,Q,42,0.028
bridge_highway_name,7,2,41,0.0273
bridge_highway_name,8,A,39,0.026
bridge_highway_name,9,J,38,0.0253
bridge_highway_name,10,Belt Pkwy,31,0.0207
bridge_highway_name,11,C,29,0.0193
bridge_highway_name,12,N,27,0.018
bridge_highway_name,13,FDR Dr,25,0.0167
bridge_highway_name,14,D,25,0.0167
bridge_highway_name,15,4,23,0.0153
bridge_highway_segment,1,Platform,297,0.198
bridge_highway_segment,2,Mezzanine,201,0.134
bridge_highway_segment,3,Entrance,85,0.0567
bridge_highway_segment,4,Stairway,47,0.0313
bridge_highway_segment,5,Other,40,0.0267
bridge_highway_segment,6,Passageway,29,0.0193
bridge_highway_segment,7,Roadway,8,0.0053
bridge_highway_segment,8,Ramp,8,0.0053
bridge_highway_segment,9,Bikepath,4,0.0027
bridge_highway_segment,10,Union Trnpke (Exit 22) - Cross Island Pkwy Winchester Blvd (Exit 23),3,0.002
