complaint_type,count
Illegal Parking,2641208
Noise - Residential,2383077
HEAT/HOT WATER,1615888
Noise - Street/Sidewalk,1048959
Blocked Driveway,992017
UNSANITARY CONDITION,639489
Request Large Bulky Item Collection,632146
Street Condition,457118
Water System,386928
Noise - Vehicle,384620
Noise - Commercial,372661
PLUMBING,370611
Abandoned Vehicle,365652
PAINT/PLASTER,339851
Noise,316857
Street Light Condition,286609
Derelict Vehicles,276140
Traffic Signal Condition,260606
DOOR/WINDOW,254814
Dirty Condition,243346
WATER LEAK,235176
Missed Collection,227745
General Construction/Plumbing,227322
Rodent,225385
Damaged Tree,220794
