month,count
2020-01,195230
2020-02,173162
2020-03,179779
2020-04,159114
2020-05,234308
2020-06,313305
2020-07,316553
2020-08,348463
2020-09,287850
2020-10,269520
2020-11,233596
2020-12,231142
2021-01,228039
2021-02,195978
2021-03,249959
2021-04,241648
2021-05,274411
2021-06,301378
2021-07,303152
2021-08,282244
2021-09,317506
2021-10,308312
2021-11,269689
2021-12,248563
2022-01,279281
2022-02,244234
2022-03,251933
2022-04,236083
2022-05,276664
2022-06,271730
2022-07,294474
2022-08,269234
2022-09,272053
2022-10,267072
2022-11,246539
2022-12,260662
2023-01,242173
2023-02,225002
2023-03,251716
2023-04,247496
2023-05,280932
2023-06,267168
2023-07,289328
2023-08,282757
2023-09,283514
2023-10,302768
2023-11,280046
2023-12,271817
2024-01,287186
2024-02,240436
2024-03,266602
2024-04,267565
2024-05,283982
2024-06,306198
2024-07,298936
2024-08,284823
2024-09,306770
2024-10,306803
2024-11,293516
2024-12,313949
2025-01,348179
2025-02,255364
2025-03,281220
2025-04,272550
2025-05,295057
2025-06,306435
2025-07,307304
2025-08,295468
2025-09,302675
2025-10,336611
2025-11,304903
2025-12,332103
2026-01,348510
2026-02,334687
2026-03,341923
2026-04,97490
