created_month_start,geo_hotspot_label,complaint_count
2025-12-01,Hotspot 10: QUEENS | Noise - Residential,50
2025-12-01,Hotspot 1: MANHATTAN | HEAT/HOT WATER,1644
2025-12-01,Hotspot 2: BROOKLYN | Illegal Parking,894
2025-12-01,Hotspot 3: QUEENS | Illegal Parking,183
2025-12-01,Hotspot 4: BROOKLYN | Illegal Parking,188
2025-12-01,Hotspot 5: BROOKLYN | Illegal Parking,127
2025-12-01,Hotspot 6: QUEENS | Illegal Parking,63
2025-12-01,Hotspot 7: QUEENS | Illegal Parking,55
2025-12-01,Hotspot 8: QUEENS | Noise - Vehicle,60
2025-12-01,Hotspot 9: QUEENS | HEAT/HOT WATER,40
2026-01-01,Hotspot 10: QUEENS | Noise - Residential,41
2026-01-01,Hotspot 1: MANHATTAN | HEAT/HOT WATER,2276
2026-01-01,Hotspot 2: BROOKLYN | Illegal Parking,1193
2026-01-01,Hotspot 3: QUEENS | Illegal Parking,221
2026-01-01,Hotspot 4: BROOKLYN | Illegal Parking,202
2026-01-01,Hotspot 5: BROOKLYN | Illegal Parking,153
2026-01-01,Hotspot 6: QUEENS | Illegal Parking,89
2026-01-01,Hotspot 7: QUEENS | Illegal Parking,75
2026-01-01,Hotspot 8: QUEENS | Noise - Vehicle,68
2026-01-01,Hotspot 9: QUEENS | HEAT/HOT WATER,49
2026-03-01,Hotspot 10: QUEENS | Noise - Residential,101
2026-03-01,Hotspot 1: MANHATTAN | HEAT/HOT WATER,4823
2026-03-01,Hotspot 2: BROOKLYN | Illegal Parking,2902
2026-03-01,Hotspot 3: QUEENS | Illegal Parking,629
2026-03-01,Hotspot 4: BROOKLYN | Illegal Parking,599
2026-03-01,Hotspot 5: BROOKLYN | Illegal Parking,374
2026-03-01,Hotspot 6: QUEENS | Illegal Parking,298
2026-03-01,Hotspot 7: QUEENS | Illegal Parking,242
2026-03-01,Hotspot 8: QUEENS | Noise - Vehicle,145
2026-03-01,Hotspot 9: QUEENS | HEAT/HOT WATER,116
2026-04-01,Hotspot 10: QUEENS | Noise - Residential,13
2026-04-01,Hotspot 1: MANHATTAN | HEAT/HOT WATER,662
2026-04-01,Hotspot 2: BROOKLYN | Illegal Parking,410
2026-04-01,Hotspot 3: QUEENS | Illegal Parking,77
2026-04-01,Hotspot 4: BROOKLYN | Illegal Parking,80
2026-04-01,Hotspot 5: BROOKLYN | Illegal Parking,41
2026-04-01,Hotspot 6: QUEENS | Illegal Parking,44
2026-04-01,Hotspot 7: QUEENS | Illegal Parking,36
2026-04-01,Hotspot 8: QUEENS | Noise - Vehicle,10
2026-04-01,Hotspot 9: QUEENS | HEAT/HOT WATER,9
